topic,subject,relation,object,question,output_gemma_1.1_2b_it,eval_gemma_1.1_2b_it,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels
places_city,Kanel,country,Senegal,What is the country of Kanel?,"Kanel is a fictional country from the animated series ""The Legend of Korra",0.0,What is the capital of the country of Kanel?,Dakar,What is the population of the capital of the country of Kanel?,"3,137,196",What is the main language spoken in the capital of the country of Kanel?,French,What is the currency used in the country where the capital of the country of Kanel is located?,West African CFA franc,What is the official name of the country that uses the currency used in the country where the capital of the country of Kanel is located?,Republic of Senegal,"['Senegal', 'Kanel is a fictional country from the animated series ""The Legend of Korra', 'Mali', 'Gambia']",Which country is Kanel located in?,Is the country of Kanel Senegal?,Is the country of Kanel a fictional country from the animated series 'The Legend of Korra'?,What is a well-known river in Senegal?,Which town is located in Senegal?,"A. Senegal  B. Gambia  C. Kanel is a fictional country from the animated series ""The Legend of Korra  D. Mali",A
places_city,Farim,country,Guinea-Bissau,What is the country of Farim?,"Farim is not a recognized country, so I cannot provide an answer",0.0,What is the capital of the country of Farim?,Bissau,What is the population of the capital of the country of Farim?,"492,004",What is the area of the capital of the country of Farim?,77.5 square kilometers,What is the official language spoken in the capital of the country of Farim?,Portuguese,What is the currency used in the country where the capital of the country of Farim is located?,West African CFA franc,"['Guinea-Bissau', 'Farim is not a recognized country, so I cannot provide an answer', 'Senegal', 'Gambia']",Which country is Farim located in?,Is Guinea-Bissau the country of Farim?,"Is Farim is not a recognized country, so I cannot provide an answer the country of Farim?",What is a well-known river near Farim?,Which city is located in Guinea-Bissau?,"A. Gambia  B. Farim is not a recognized country, so I cannot provide an answer  C. Guinea-Bissau  D. Senegal",C
places_city,Tadmur,country,Syria,What is the country of Tadmur?,Tadmur is a region in eastern Ethiopia,0.0,What is the capital of the country of Tadmur?,Damascus,What is the population of the capital of the country of Tadmur?,1.711 million (as of 2021),What is the main language spoken in the capital of the country of Tadmur?,Arabic,What is the predominant religion in the capital of the country of Tadmur?,Islam,What is the name of the largest mosque in the capital of the country of Tadmur?,Umayyad Mosque,"['Syria', 'Tadmur is a region in eastern Ethiopia', 'Jordan', 'Lebanon']",Which country is Tadmur located in?,Is the country of Tadmur Syria?,Is the country of Tadmur Tadmur is a region in eastern Ethiopia?,What is a famous historical site in Tadmur?,Which city is located in Syria?,A. Jordan  B. Tadmur is a region in eastern Ethiopia  C. Lebanon  D. Syria,D
places_city,Bonn,head of government,Katja Dörner,Who is the head of government of Bonn?,"The provided text does not specify the head of government of Bonn, so I cannot",0.0,What is the political party of the head of government of Bonn?,Alliance 90/The Greens,Who is the leader of the political party of the head of government of Bonn?,Ricarda Lang and Omid Nouripour,In which year did the current leaders of the political party of the head of government of Bonn assume office?,2022,Which city hosted the conference where the current leaders of the political party of the head of government of Bonn were elected?,Berlin,What is the population of the city that hosted the conference where the current leaders of the political party of the head of government of Bonn were elected?,Approximately 3.6 million,"['Katja Dörner', 'The provided text does not specify the head of government of Bonn, so I cannot', 'Angela Merkel', 'Armin Laschet']",Who holds the position of head of government in Bonn?,Is Katja Dörner the head of government of Bonn?,Is the head of government of Bonn not specified in the provided text?,What is a famous landmark located in Bonn?,Who is the head of government that Katja Dörner leads?,"A. Katja Dörner  B. The provided text does not specify the head of government of Bonn, so I cannot  C. Angela Merkel  D. Armin Laschet",A
places_city,Zhytomyr,head of government,Serhii Sukhomlyn,Who is the head of government of Zhytomyr?,The provided text does not contain any information regarding the head of government of Zhy,0.0,What is the political party of the head of government of Zhytomyr?,Proposition,Who is the leader of the political party of the head of government of Zhytomyr?,Volodymyr Zelensky,What is the profession of the leader of the political party of the head of government of Zhytomyr before entering politics?,Comedian,Which television show was the leader of the political party of the head of government of Zhytomyr famous for before entering politics?,Servant of the People,Which network aired the television show that the leader of the political party of the head of government of Zhytomyr was famous for before entering politics?,1+1,"['Serhii Sukhomlyn', 'The provided text does not contain any information regarding the head of government of Zhy', 'Oleksandr Turchynov', 'Volodymyr Zelensky']",Who holds the position of head of government in Zhytomyr?,Is Serhii Sukhomlyn the head of government of Zhytomyr?,Is the provided text does not contain any information regarding the head of government of Zhy the head of government of Zhytomyr?,What is a notable landmark or feature in Zhytomyr?,Who is the head of government that Serhii Sukhomlyn governs?,A. Oleksandr Turchynov  B. Serhii Sukhomlyn  C. Volodymyr Zelensky  D. The provided text does not contain any information regarding the head of government of Zhy,B
places_city,Zagorje ob Savi,country,Slovenia,What is the country of Zagorje ob Savi?,Croatia,0.0,What is the capital of the country of Zagorje ob Savi?,Ljubljana,What is the population of the capital of the country of Zagorje ob Savi?,"Approximately 295,000",What is the area in square kilometers of the capital of the country of Zagorje ob Savi?,163.8 square kilometers,What is the name of the river that flows through the capital of the country of Zagorje ob Savi?,Ljubljanica River,What is the length of the river that flows through the capital of the country of Zagorje ob Savi?,41 kilometers,"['Slovenia', 'Croatia', 'Austria', 'Hungary']",Which country is Zagorje ob Savi located in?,Is the country of Zagorje ob Savi Slovenia?,Is the country of Zagorje ob Savi Croatia?,What is a well-known river that flows through Zagorje ob Savi?,Which city in Slovenia is Zagorje ob Savi?,A. Slovenia  B. Hungary  C. Austria  D. Croatia,A
places_city,Cobija,country,Bolivia,What is the country of Cobija?,Mexico,0.0,What is the capital of the country of Cobija?,Sucre,What is the population of the capital of the country of Cobija?,"Approximately 300,000",What is the main language spoken in the capital of the country of Cobija?,Spanish,What is the currency used in the country where the capital of the country of Cobija is located?,Boliviano,What is the name of the central bank that issues the currency used in the country where the capital of the country of Cobija is located?,Central Bank of Bolivia,"['Bolivia', 'Mexico', 'Argentina', 'Chile']",Which country is Cobija located in?,Is the country of Cobija Bolivia?,Is the country of Cobija Mexico?,What is the capital city of Bolivia?,Which city is in Bolivia?,A. Argentina  B. Mexico  C. Chile  D. Bolivia,D
places_city,Attapư̄,country,Laos,What is the country of Attapư̄?,Attapư̄ is a Mexican state located in the north of the country,0.0,What is the capital of the country of Attapư̄?,Vientiane,What is the population of the capital of the country of Attapư̄?,"820,000",What is the main river that flows through the capital of the country of Attapư̄?,Mekong River,Which country borders the capital of the country of Attapư̄ along the main river?,Thailand,What is the capital city of the country that borders the capital of the country of Attapư̄ along the main river?,Bangkok,"['Laos', 'Attapư̄ is a Mexican state located in the north of the country', 'Thailand', 'Vietnam']",Which country is Attapư̄ located in?,Is the country of Attapư̄ Laos?,Is the country of Attapư̄ Attapư̄ is a Mexican state located in the north of the country?,What is the capital city of Laos?,What is the region in Laos?,A. Vietnam  B. Thailand  C. Attapư̄ is a Mexican state located in the north of the country  D. Laos,D
places_city,Toronto,location,Greater Toronto Area,What is the location of Toronto?,"Toronto is located in Ontario, Canada",0.0,What is the population of the location of Toronto?,6.4 million,What is the largest city in the location of Toronto?,Toronto,What is the name of the mayor of the largest city in the location of Toronto?,John Tory,Which political party does the mayor of the largest city in the location of Toronto belong to?,Progressive Conservative Party of Ontario,Who is the leader of the political party that the mayor of the largest city in the location of Toronto belongs to?,Doug Ford,"['Greater Toronto Area', 'Toronto is located in Ontario, Canada', 'Vancouver', 'Montreal']",Where is Toronto located?,Is the location of Toronto the Greater Toronto Area?,"Is the location of Toronto Ontario, Canada?",What is a famous landmark in Toronto?,What city is located in the Greater Toronto Area?,"A. Vancouver  B. Toronto is located in Ontario, Canada  C. Montreal  D. Greater Toronto Area",D
places_city,Muhanga,country,Rwanda,What is the country of Muhanga?,Uganda,0.0,What is the capital city of the country of Muhanga?,Kigali,What is the population of the capital city of the country of Muhanga?,1.13 million,What is the main language spoken in the capital city of the country of Muhanga?,Kinyarwanda,What is the currency used in the country where the capital city of the country of Muhanga is located?,Rwandan franc,What is the calling code of the country where the capital city of the country of Muhanga is located?,+250,"['Rwanda', 'Uganda', 'Kenya', 'Tanzania']",Which country is Muhanga located in?,Is the country of Muhanga Rwanda?,Is the country of Muhanga Uganda?,What is the capital city of Rwanda?,Which city in Rwanda is Muhanga?,A. Rwanda  B. Uganda  C. Kenya  D. Tanzania,A
places_city,Yaguarón,country,Paraguay,What is the country of Yaguarón?,Yaguarón is a Mexican state located in the north-central region of,0.0,What is the capital of the country of Yaguarón?,Asunción,What is the population of the capital of the country of Yaguarón?,"525,294",What is the area in square kilometers of the capital of the country of Yaguarón?,117 km²,What is the elevation in meters of the capital of the country of Yaguarón?,43 meters,What is the time zone of the capital of the country of Yaguarón?,GMT-4,"['Paraguay', 'Yaguarón is a Mexican state located in the north-central region of', 'Argentina', 'Brazil']",Which country is Yaguarón located in?,Is the country of Yaguarón Paraguay?,Is the country of Yaguarón Yaguarón is a Mexican state located in the north-central region of?,What is a well-known festival celebrated in Yaguarón?,Which city in Paraguay is Yaguarón?,A. Brazil  B. Paraguay  C. Argentina  D. Yaguarón is a Mexican state located in the north-central region of,B
places_city,Agadir,head of government,Aziz Akhannouch,Who is the head of government of Agadir?,The provided text does not contain any information regarding the head of government of Agadir,0.0,What is the political party of the head of government of Agadir?,National Rally of Independents,Who is the leader of the political party of the head of government of Agadir?,Aziz Akhannouch,What is the main economic activity in the city governed by the head of government of Agadir?,Tourism,What is a popular tourist attraction in the city where the head of government of Agadir governs?,Agadir Beach,"In which country is the city located that has Agadir Beach, a popular tourist attraction, and is governed by the head of government of Agadir?",Morocco,"['Aziz Akhannouch', 'The provided text does not contain any information regarding the head of government of Agadir', 'Saadeddine Othmani', 'Abdelilah Benkirane']",Who holds the position of head of government in Agadir?,Is Aziz Akhannouch the head of government of Agadir?,Is the provided text does not contain any information regarding the head of government of Agadir the head of government of Agadir?,What is a popular tourist attraction in Agadir?,Who is the head of government that governs Agadir?,A. The provided text does not contain any information regarding the head of government of Agadir  B. Saadeddine Othmani  C. Abdelilah Benkirane  D. Aziz Akhannouch,D
places_city,Ozurgeti,country,Georgia,What is the country of Ozurgeti?,Ozurgeti is a fictional country from the Chronicles of Narnia,0.0,What is the capital of the country of Ozurgeti?,Tbilisi,What is the population of the capital of the country of Ozurgeti?,1.1 million,What is the main river flowing through the capital of the country of Ozurgeti?,Kura River,What is the length of the main river flowing through the capital of the country of Ozurgeti?,"1,515 kilometers",Which sea does the main river flowing through the capital of the country of Ozurgeti ultimately drain into?,Caspian Sea,"['Georgia', 'Ozurgeti is a fictional country from the Chronicles of Narnia', 'Armenia', 'Azerbaijan']",Which country is Ozurgeti located in?,Is the country of Ozurgeti Georgia?,Is the country of Ozurgeti Ozurgeti is a fictional country from the Chronicles of Narnia?,What is a well-known city in Georgia?,Which city is located in Georgia?,A. Georgia  B. Armenia  C. Azerbaijan  D. Ozurgeti is a fictional country from the Chronicles of Narnia,A
places_city,Bangkok,occupant,VG,What is the occupant of Bangkok?,Bangkok is home to a diverse population of people from various ethnicities and backgrounds,0.0,What is the occupation of the occupant of Bangkok?,Musician,What is the genre of music played by the occupant of Bangkok?,Pop,Which record label is the occupant of Bangkok associated with?,Universal Music Group,In which year did the occupant of Bangkok sign with Universal Music Group?,2018,Which album was released by the occupant of Bangkok after signing with Universal Music Group in 2018?,Dreams,"['VG', 'Bangkok is home to a diverse population of people from various ethnicities and backgrounds', 'Thailand', 'ASEAN']",Who occupies Bangkok?,Is VG the occupant of Bangkok?,Is Bangkok home to a diverse population of people from various ethnicities and backgrounds the occupant of Bangkok?,What is the capital city of Thailand?,What city is occupied by VG?,A. Bangkok is home to a diverse population of people from various ethnicities and backgrounds  B. VG  C. ASEAN  D. Thailand,B
places_city,Yola,native language,Hausa,What is the native language of Yola?,Yoruba,0.0,What is the primary country where the native language of Yola is spoken?,Nigeria,What is the capital city of the primary country where the native language of Yola is spoken?,Abuja,What is the population of the capital city of the primary country where the native language of Yola is spoken?,3.6 million,What is the major river that flows through the capital city of the primary country where the native language of Yola is spoken?,Niger River,What is the length of the major river that flows through the capital city of the primary country where the native language of Yola is spoken?,"4,180 kilometers","['Hausa', 'Yoruba', 'Igbo', 'Fulani']",Which language is native to Yola?,Is Hausa the native language of Yola?,Is Yoruba the native language of Yola?,What is a well-known cultural festival celebrated in Yola?,Which place has Hausa as its native language?,A. Hausa  B. Yoruba  C. Fulani  D. Igbo,A
places_city,Nekemte,country,Ethiopia,What is the country of Nekemte?,Nekemte is a fictional country from ancient Egyptian mythology,0.0,What is the capital city of the country of Nekemte?,Addis Ababa,What is the population of the capital city of the country of Nekemte?,3.6 million,What is the main language spoken in the capital city of the country of Nekemte?,Amharic,What is the currency used in the country where the capital city of the country of Nekemte is located?,Ethiopian Birr,What is the name of the central bank that issues the currency used in the country where the capital city of the country of Nekemte is located?,National Bank of Ethiopia,"['Ethiopia', 'Nekemte is a fictional country from ancient Egyptian mythology', 'Kenya', 'Sudan']",Which country is Nekemte located in?,Is Ethiopia the country of Nekemte?,Is Nekemte a fictional country from ancient Egyptian mythology?,What is a well-known city in Ethiopia?,Which city in Ethiopia is Nekemte?,A. Nekemte is a fictional country from ancient Egyptian mythology  B. Kenya  C. Ethiopia  D. Sudan,C
places_city,Ncue,country,Equatorial Guinea,What is the country of Ncue?,Ncue is a fictional country from the video game Red Dead Redemption 2,0.0,What is the capital of the country of Ncue?,Malabo,What is the population of the capital of the country of Ncue?,"Approximately 297,000",What is the main language spoken in the capital of the country of Ncue?,Spanish,What is the currency used in the country where the capital of the country of Ncue is located?,Central African CFA franc,Which organization is the country a member of where the capital of the country of Ncue is located?,African Union,"['Equatorial Guinea', 'Ncue is a fictional country from the video game Red Dead Redemption 2', 'Gabon', 'Cameroon']",Which country is Ncue located in?,Is Equatorial Guinea the country of Ncue?,Is Ncue a fictional country from the video game Red Dead Redemption 2 the country of Ncue?,What is the capital city of Equatorial Guinea?,Which place is located in Equatorial Guinea?,A. Cameroon  B. Equatorial Guinea  C. Ncue is a fictional country from the video game Red Dead Redemption 2  D. Gabon,B
places_city,Leme,country,Brazil,What is the country of Leme?,Leme is a fictional country from the video game Final Fantasy XIV Online,0.0,What is the capital of the country of Leme?,Brasília,Who is the president of the country whose capital is Brasília and which is the country of Leme?,Luiz Inácio Lula da Silva,What is the official language of the country whose president is Luiz Inácio Lula da Silva and which is the country of Leme?,Portuguese,What is the population of the country where the official language is Portuguese and which is the country of Leme?,Approximately 213 million,What is the largest city in the country with a population of approximately 213 million and which is the country of Leme?,São Paulo,"['Brazil', 'Leme is a fictional country from the video game Final Fantasy XIV Online', 'Argentina', 'Portugal']",Which country is Leme located in?,Is the country of Leme Brazil?,Is the country of Leme Leme is a fictional country from the video game Final Fantasy XIV Online?,What is the state where Leme is located?,What city in Brazil is Leme?,A. Brazil  B. Portugal  C. Leme is a fictional country from the video game Final Fantasy XIV Online  D. Argentina,A
places_city,Pyapon,country,Myanmar,What is the country of Pyapon?,"Pyapon is a fictional country from the anime and manga series ""Mobile Suit Gundam",0.0,What is the capital of the country of Pyapon?,Naypyidaw,What is the population of the capital of the country of Pyapon?,Approximately 1 million,What is the main language spoken in the capital of the country of Pyapon?,Burmese,"What is the predominant religion in the city where the main language spoken is Burmese, which is the capital of the country of Pyapon?",Buddhism,"What is a major festival celebrated in the city where the predominant religion is Buddhism, which is the capital of the country of Pyapon?",Thingyan (Burmese New Year Water Festival),"['Myanmar', 'Pyapon is a fictional country from the anime and manga series ""Mobile Suit Gundam', 'Thailand', 'Vietnam']",Which country is Pyapon located in?,Is Myanmar the country of Pyapon?,Is Pyapon a fictional country from the anime and manga series 'Mobile Suit Gundam'?,What is a well-known city in Myanmar?,Which city is located in Myanmar?,"A. Vietnam  B. Pyapon is a fictional country from the anime and manga series ""Mobile Suit Gundam  C. Myanmar  D. Thailand",C
places_city,San José,named after,Joseph,Who was San José named after?,"San José was named after Saint Jose, a Spanish bishop",0.0,What is the occupation of the person San José was named after?,Carpenter,Who is the spouse of the person whose occupation is a carpenter and who San José was named after?,Mary,What is the name of the child of the spouse of the person whose occupation is a carpenter and who San José was named after?,Jesus,In which city was the child of the spouse of the person whose occupation is a carpenter and who San José was named after born?,Bethlehem,In which country is the city located where the child of the spouse of the person whose occupation is a carpenter and who San José was named after was born?,Israel,"['Joseph', 'San José was named after Saint Jose, a Spanish bishop', 'Saint Joseph', 'Jose']",After whom was San José named?,Was San José named after Joseph?,"Was San José named after Saint Jose, a Spanish bishop?",What is the capital city of Costa Rica?,Who was named after Joseph?,"A. Joseph  B. Jose  C. Saint Joseph  D. San José was named after Saint Jose, a Spanish bishop",A
places_city,Dundee,country,United Kingdom,What is the country of Dundee?,"Dundee is located in Scotland, UK",0.0,What is the capital of the country of Dundee?,London,What is the population of the capital of the country of Dundee?,8.982 million,What is the area in square kilometers of the capital of the country of Dundee?,"1,572 km²",What is the name of the river that flows through the capital of the country of Dundee?,River Thames,What is the length of the river that flows through the capital of the country of Dundee?,346 km,"['United Kingdom', 'Dundee is located in Scotland, UK', 'Ireland', 'Wales']",Which country is Dundee a part of?,Is the country of Dundee the United Kingdom?,"Is the country of Dundee Dundee is located in Scotland, UK?",What is a famous university located in Dundee?,Which city is in the United Kingdom?,"A. Wales  B. Dundee is located in Scotland, UK  C. United Kingdom  D. Ireland",C
places_city,Supe,country,Peru,What is the country of Supe?,Supe is a fictional country from the video game Super Mario Odyssey,0.0,What is the capital of the country of Supe?,Lima,What is the population of the capital of the country of Supe?,Approximately 9 million,What is the main language spoken in the capital of the country of Supe?,Spanish,What is the currency used in the country where the capital's main language is Spanish?,Peruvian Sol,What is the official name of the country that uses the Peruvian Sol as its currency?,Republic of Peru,"['Peru', 'Supe is a fictional country from the video game Super Mario Odyssey', 'Brazil', 'Argentina']",Which country is Supe located in?,Is the country of Supe Peru?,Is the country of Supe a fictional country from the video game Super Mario Odyssey?,What is a famous landmark in Supe?,Which place is located in Peru?,A. Supe is a fictional country from the video game Super Mario Odyssey  B. Argentina  C. Brazil  D. Peru,D
places_city,Okayama,replaces,Mitsu,What does Okayama replace?,"Okayama replaces the concept of ""what was.""",0.0,What is the population of the place that Okayama replaces?,"Approximately 10,000","What is the main industry in the place with a population of approximately 10,000 that Okayama replaces?",Agriculture,"What is the primary crop grown in the main industry of the place with a population of approximately 10,000 that Okayama replaces?",Rice,"Which river is closest to the primary crop-growing area in the main industry of the place with a population of approximately 10,000 that Okayama replaces?",Asahi River,"Which sea does the river closest to the primary crop-growing area in the main industry of the place with a population of approximately 10,000 that Okayama replaces flow into?",Seto Inland Sea,"['Mitsu', 'Okayama replaces the concept of ""what was.""', 'Kurashiki', 'Takahashi']",What did Okayama take the place of?,Does Okayama replace Mitsu?,Does Okayama replace the concept of 'what was.'?,What is a famous landmark in Okayama?,What replaces Mitsu?,"A. Kurashiki  B. Mitsu  C. Takahashi  D. Okayama replaces the concept of ""what was.""",B
places_city,Sale,associated electoral district,Gippsland South,What is the associated electoral district of Sale?,"I do not have access to real-time or location-based data, therefore",0.0,Who is the current representative of the associated electoral district of Sale?,Danny O'Brien,Which political party does the current representative of the associated electoral district of Sale belong to?,National Party,Who is the leader of the political party that the current representative of the associated electoral district of Sale belongs to?,David Littleproud,Which federal electoral division does the leader of the political party that the current representative of the associated electoral district of Sale belong to?,Maranoa,In which state is the federal electoral division located that the leader of the political party that the current representative of the associated electoral district of Sale belongs to?,Queensland,"['Gippsland South', 'I do not have access to real-time or location-based data, therefore', 'Melbourne', 'Ballarat']",Which electoral district is Sale associated with?,Is Gippsland South the associated electoral district of Sale?,"Is I do not have access to real-time or location-based data, therefore the associated electoral district of Sale?",What is a notable landmark or feature in Sale?,Which town is associated with the electoral district of Gippsland South?,"A. Ballarat  B. Gippsland South  C. I do not have access to real-time or location-based data, therefore  D. Melbourne",B
places_city,Novo Mesto,founded by,Rudolf IV,Who was Novo Mesto founded by?,Novo Mesto was founded by the Novo Mesto Company,0.0,What was the title of the person who founded Novo Mesto?,Duke of Austria,Which dynasty did the person who held the title Duke of Austria and founded Novo Mesto belong to?,House of Habsburg,"In which century did the House of Habsburg, to which the founder of Novo Mesto belonged, rise to prominence?",13th century,"Which empire was ruled by the House of Habsburg, to which the founder of Novo Mesto belonged, during its peak?",Holy Roman Empire,"Which modern-day country was the core of the Holy Roman Empire, ruled by the House of Habsburg, to which the founder of Novo Mesto belonged?",Germany,"['Rudolf IV', 'Novo Mesto was founded by the Novo Mesto Company', 'King Ferdinand', 'Duke Albert']",Who established Novo Mesto?,Was Novo Mesto founded by Rudolf IV?,Was Novo Mesto founded by the Novo Mesto Company?,What is a well-known historical landmark in Novo Mesto?,Who did Rudolf IV found?,A. Novo Mesto was founded by the Novo Mesto Company  B. King Ferdinand  C. Rudolf IV  D. Duke Albert,C
places_city,Bertoua,country,Cameroon,What is the country of Bertoua?,Bertoua is a country located in Central Africa,0.0,What is the capital of the country of Bertoua?,Yaoundé,What is the population of the capital of the country of Bertoua?,2.8 million,What is the main language spoken in the capital of the country of Bertoua?,French,What is the currency used in the country where the capital of the country of Bertoua is located?,Central African CFA franc,Which organization issues the currency used in the country where the capital of the country of Bertoua is located?,Bank of Central African States,"['Cameroon', 'Bertoua is a country located in Central Africa', 'Nigeria', 'Gabon']",Which country is Bertoua located in?,Is Cameroon the country of Bertoua?,Is Bertoua a country located in Central Africa?,What is the capital city of Cameroon?,Which city in Cameroon is Bertoua?,A. Cameroon  B. Bertoua is a country located in Central Africa  C. Nigeria  D. Gabon,A
places_city,Samtredia,official language,Georgian,What is the official language of Samtredia?,Samtredia is known for its ancient Armenian language,0.0,What is the primary script used to write the official language of Samtredia?,Georgian script,What is the historical origin of the primary script used to write the official language of Samtredia?,"It originated from the ancient Georgian scripts, Asomtavruli and Nuskhuri.",Which kingdom is associated with the historical origin of the primary script used to write the official language of Samtredia?,Kingdom of Iberia,Who was a notable king of the kingdom associated with the historical origin of the primary script used to write the official language of Samtredia?,King Pharnavaz I,What significant contribution did the notable king of the kingdom associated with the historical origin of the primary script used to write the official language of Samtredia make?,He is credited with the creation of the Georgian script.,"['Georgian', 'Samtredia is known for its ancient Armenian language', 'Russian', 'English']",Which language is officially spoken in Samtredia?,Is the official language of Samtredia Georgian?,Is the official language of Samtredia Samtredia is known for its ancient Armenian language?,What is a well-known city in Georgia?,In which city is Georgian the official language?,A. Russian  B. Samtredia is known for its ancient Armenian language  C. English  D. Georgian,D
places_city,Bani Na'im,country,State of Palestine,What is the country of Bani Na'im?,Bani Na'im is a city in Jordan,0.0,What is the capital of the country of Bani Na'im?,Jerusalem,What is the population of the capital of the country of Bani Na'im?,"936,425",What is the area in square kilometers of the capital of the country of Bani Na'im?,125.1,What is the elevation in meters of the capital of the country of Bani Na'im?,754,What is the time zone of the capital of the country of Bani Na'im?,Israel Standard Time (IST),"['State of Palestine', ""Bani Na'im is a city in Jordan"", 'Lebanon', 'Egypt']",Which country is Bani Na'im located in?,Is the country of Bani Na'im the State of Palestine?,Is the country of Bani Na'im Bani Na'im is a city in Jordan?,What is a well-known city in the State of Palestine?,What is a city in the State of Palestine?,A. Egypt  B. Lebanon  C. Bani Na'im is a city in Jordan  D. State of Palestine,D
places_city,Fatick,country,Senegal,What is the country of Fatick?,Fatick is a city in Egypt,0.0,What is the capital of the country of Fatick?,Dakar,What is the population of the capital of the country of Fatick?,"1,030,594",What is the area in square kilometers of the capital of the country of Fatick?,83 km²,What is the official language spoken in the capital of the country of Fatick?,French,What is the currency used in the country where the capital of the country of Fatick is located?,West African CFA franc,"['Senegal', 'Fatick is a city in Egypt', 'Mali', 'Gambia']",Which country is Fatick located in?,Is Senegal the country of Fatick?,Is Fatick a city in Egypt the country of Fatick?,What is a well-known city in the Fatick region?,Which region is Senegal associated with?,A. Senegal  B. Gambia  C. Fatick is a city in Egypt  D. Mali,A
places_city,Miramichi,country,Canada,What is the country of Miramichi?,Miramichi is a Canadian province located on the east coast of the country,0.0,What is the capital of the country of Miramichi?,Ottawa,Who is the current Prime Minister of the country whose capital is Ottawa and which includes Miramichi?,Justin Trudeau,What is the official residence of the current Prime Minister of the country whose capital is Ottawa and which includes Miramichi?,24 Sussex Drive,In which city is the official residence of the current Prime Minister of the country whose capital is Ottawa and which includes Miramichi located?,Ottawa,In which province is the city located that contains the official residence of the current Prime Minister of the country whose capital is Ottawa and which includes Miramichi?,Ontario,"['Canada', 'Miramichi is a Canadian province located on the east coast of the country', 'United States', 'Mexico']",Which country is Miramichi located in?,Is the country of Miramichi Canada?,Is the country of Miramichi Miramichi is a Canadian province located on the east coast of the country?,What is a well-known river in Miramichi?,Which city in Canada is Miramichi?,A. Miramichi is a Canadian province located on the east coast of the country  B. United States  C. Canada  D. Mexico,C
places_city,Ma'arrat Nu'man,country,Syria,What is the country of Ma'arrat Nu'man?,Morocco,0.0,What is the capital of the country of Ma'arrat Nu'man?,Damascus,What is the population of the capital of the country of Ma'arrat Nu'man?,1.711 million (as of 2021),What is the main language spoken in the capital of the country of Ma'arrat Nu'man?,Arabic,What is the predominant religion in the city where the main language spoken is Arabic and is the capital of the country of Ma'arrat Nu'man?,Islam,What is the name of the famous mosque located in the city where the predominant religion is Islam and is the capital of the country of Ma'arrat Nu'man?,Umayyad Mosque,"['Syria', 'Morocco', 'Egypt', 'Jordan']",Which country is Ma'arrat Nu'man located in?,Is the country of Ma'arrat Nu'man Syria?,Is the country of Ma'arrat Nu'man Morocco?,What is a famous historical event associated with Ma'arrat Nu'man?,Which city in Syria is Ma'arrat Nu'man?,A. Syria  B. Egypt  C. Morocco  D. Jordan,A
places_city,Bouna,located in time zone,Greenwich Mean Time,What is the located in time zone of Bouna?,Bouna is located in the GMT+1 time zone,0.0,What is the capital city of the country where Bouna is located in the Greenwich Mean Time zone?,Yamoussoukro,What is the population of the capital city of the country where Bouna is located in the Greenwich Mean Time zone?,"355,573",What is the main language spoken in the capital city of the country where Bouna is located in the Greenwich Mean Time zone?,French,"What is the currency used in the country where the capital city is located, which is in the same country as Bouna in the Greenwich Mean Time zone?",West African CFA franc,"What is the name of the president of the country where the capital city is located, which is in the same country as Bouna in the Greenwich Mean Time zone?",Alassane Ouattara,"['Greenwich Mean Time', 'Bouna is located in the GMT+1 time zone', 'Central European Time', 'Eastern Standard Time']",In which time zone is Bouna located?,Is Bouna located in the Greenwich Mean Time zone?,Is Bouna located in the GMT+1 time zone?,What country is Bouna located in?,Which place is located in the Greenwich Mean Time zone?,A. Greenwich Mean Time  B. Central European Time  C. Bouna is located in the GMT+1 time zone  D. Eastern Standard Time,A
places_city,Riobamba,office held by head of government,mayor,What is the office held by head of government of Riobamba?,Executive Palace,0.0,Who is the current mayor of Riobamba?,Napoleón Cadena,Which political party does the current mayor of Riobamba belong to?,Movimiento Alianza PAIS,When was the political party that the current mayor of Riobamba belongs to founded?,2006,Who was the founder of the political party that the current mayor of Riobamba belongs to?,Rafael Correa,What position did the founder of the political party that the current mayor of Riobamba belongs to hold in Ecuador?,President of Ecuador,"['mayor', 'Executive Palace', 'governor', 'city councilor']",Which position is held by the head of government in Riobamba?,Is the office held by head of government of Riobamba the mayor?,Is the office held by head of government of Riobamba the Executive Palace?,What is a well-known landmark in Riobamba?,Who holds the office of mayor in Riobamba?,A. mayor  B. Executive Palace  C. city councilor  D. governor,A
