topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
places_country,Mauritius,geography of topic,geography of Mauritius,geography of Mauritius,What is the geography of topic of Mauritius?,Island nation,0.0,"['geography of Mauritius', 'Island nation', 'climate of Mauritius', 'population of Mauritius']",What is the geographical topic of Mauritius?,A. geography of Mauritius  B. population of Mauritius  C. climate of Mauritius  D. Island nation,A,Is the geography of topic of Mauritius the geography of Mauritius?,Is the geography of topic of Mauritius an Island nation?,What is the capital city of Mauritius?,What is the topic of the geography of Mauritius?,What is the capital city of Mauritius?,Port Louis,Which ocean is the capital city of Mauritius located in?,Indian Ocean,Which continent is the ocean located in that contains the capital city of Mauritius?,Africa,What is the largest island in the continent that contains the ocean where the capital city of Mauritius is located?,Madagascar,What is the official language of the largest island in the continent that contains the ocean where the capital city of Mauritius is located?,Malagasy
places_country,Singapore,executive body,Government of Singapore,Government of Singapore,What is the executive body of Singapore?,Parliament,0.0,"['Government of Singapore', 'Parliament', 'Supreme Court', 'President']",Which entity serves as the executive body of Singapore?,A. Government of Singapore  B. Parliament  C. Supreme Court  D. President,A,Is the Government of Singapore the executive body of Singapore?,Is the Parliament the executive body of Singapore?,What is the official language of Singapore?,Which country has the Government of Singapore as its executive body?,Who is the current Prime Minister of the executive body of Singapore?,Lee Hsien Loong,Who is the father of the current Prime Minister of the executive body of Singapore?,Lee Kuan Yew,What is the title of the book written by the father of the current Prime Minister of the executive body of Singapore?,The Singapore Story: Memoirs of Lee Kuan Yew,In which year was the book written by the father of the current Prime Minister of the executive body of Singapore published?,1998,Which publishing company published the book written by the father of the current Prime Minister of the executive body of Singapore?,Prentice Hall
places_country,Uzbekistan,basic form of government,presidential system,presidential system,What is the basic form of government of Uzbekistan?,Republic,0.0,"['presidential system', 'Republic', 'monarchy', 'parliamentary system']",What type of government does Uzbekistan have?,A. Republic  B. parliamentary system  C. presidential system  D. monarchy,C,Is the basic form of government of Uzbekistan a presidential system?,Is the basic form of government of Uzbekistan a Republic?,What is the capital city of Uzbekistan?,Which country has a presidential system as its basic form of government?,Who is the current president of the country with the basic form of government in Uzbekistan?,Shavkat Mirziyoyev,What is the capital city of the country whose current president is Shavkat Mirziyoyev?,Tashkent,Which river flows through the capital city of the country whose current president is Shavkat Mirziyoyev?,Chirchiq River,"Into which larger river does the Chirchiq River, which flows through the capital city of the country whose current president is Shavkat Mirziyoyev, eventually flow?",Syr Darya,"Which sea does the Syr Darya, the river into which the Chirchiq River flows, eventually drain into?",Aral Sea
places_country,Gabon,twinned administrative body,Aisai,Aisai,What is the twinned administrative body of Gabon?,Equatorial Guinea,0.0,"['Aisai', 'Equatorial Guinea', 'Libreville', 'Port-Gentil']",Which administrative body is twinned with Gabon?,A. Equatorial Guinea  B. Libreville  C. Aisai  D. Port-Gentil,C,Is Aisai the twinned administrative body of Gabon?,Is Equatorial Guinea the twinned administrative body of Gabon?,What is the capital city of Gabon?,Which country has Aisai as its twinned administrative body?,What is the twinned administrative body of Gabon?,Franceville,Which country is the twinned administrative body of Gabon located in?,Gabon,What is the capital city of the country where the twinned administrative body of Gabon is located?,Libreville,Which ocean is the capital city of the country where the twinned administrative body of Gabon is located near?,Atlantic Ocean,What is the name of the gulf that the ocean near the capital city of the country where the twinned administrative body of Gabon is located?,Gulf of Guinea
places_country,Argentina,history of topic,history of Argentina,history of Argentina,What is the history of topic of Argentina?,History (of Argentina),0.0,"['history of Argentina', 'History (of Argentina)', 'geography of Argentina', 'culture of Argentina']",Can you tell me about the history of Argentina?,A. History (of Argentina)  B. geography of Argentina  C. culture of Argentina  D. history of Argentina,D,Is the history of topic of Argentina the history of Argentina?,Is the history of topic of Argentina History (of Argentina)?,What is the capital city of Argentina?,What country has the history of Argentina as its history of topic?,Who was the first president in the history of Argentina?,Bernardino Rivadavia,In which year did the first president in the history of Argentina take office?,1826,Which major event in Argentine history occurred in the same decade as the first president taking office?,The Argentine War of Independence,Who was a prominent leader during the Argentine War of Independence?,José de San Martín,Which country did José de San Martín help liberate besides Argentina?,Chile
places_country,Poland,described by source,Encyclopædia Britannica 11th edition,Encyclopædia Britannica 11th edition,What is the described by source of Poland?,Vistula,0.0,"['Encyclopædia Britannica 11th edition', 'Vistula', 'Wikipedia', 'World Book Encyclopedia']",Which source describes Poland?,A. Vistula  B. Encyclopædia Britannica 11th edition  C. Wikipedia  D. World Book Encyclopedia,B,Is the described by source of Poland the Encyclopædia Britannica 11th edition?,Is the described by source of Poland the Vistula?,What is the capital city of Poland?,Which country is described by the Encyclopædia Britannica 11th edition?,Who is the author of the source that describes Poland?,Norman Davies,What is the title of the book written by the author who described Poland?,God's Playground: A History of Poland,In which year was the book titled 'God's Playground: A History of Poland' published?,1979,Which publishing house released the book 'God's Playground: A History of Poland' in 1979?,Oxford University Press,In which country is the publishing house located that released the book 'God's Playground: A History of Poland'?,United Kingdom
places_country,India,head of government,Narendra Modi,Narendra Modi,Who is the head of government of India?,Prime Minister,0.0,"['Narendra Modi', 'Prime Minister', 'Rahul Gandhi', 'Amit Shah']",Who serves as the head of government in India?,A. Narendra Modi  B. Rahul Gandhi  C. Prime Minister  D. Amit Shah,A,Is Narendra Modi the head of government of India?,Is Prime Minister the head of government of India?,What is the capital city of India?,Who is governed by Narendra Modi?,Who is the spouse of the head of government of India?,Jashodaben Narendrabhai Modi,What is the profession of the spouse of the head of government of India?,Retired school teacher,In which state did the spouse of the head of government of India work as a school teacher?,Gujarat,What is the capital city of the state where the spouse of the head of government of India worked as a school teacher?,Gandhinagar,Which river flows through the capital city of the state where the spouse of the head of government of India worked as a school teacher?,Sabarmati River
places_country,Ecuador,head of state,Daniel Noboa,Daniel Noboa,Who is the head of state of Ecuador?,Guillermo Lasso (as of my last update),0.0,"['Daniel Noboa', 'Guillermo Lasso', 'Lenín Moreno', 'Rafael Correa']",Who serves as the head of state for Ecuador?,A. Guillermo Lasso (as of my last update)  B. Daniel Noboa  C. Rafael Correa  D. Lenín Moreno,B,Is Daniel Noboa the head of state of Ecuador?,Is Guillermo Lasso the head of state of Ecuador?,What is the capital city of Ecuador?,Which country has Daniel Noboa as its head of state?,Who is the spouse of the head of state of Ecuador?,María de Lourdes Alcívar,Which university did the spouse of the head of state of Ecuador attend?,Universidad Católica de Santiago de Guayaquil,In which city is the university that the spouse of the head of state of Ecuador attended located?,Guayaquil,In which province is the city located where the university that the spouse of the head of state of Ecuador attended is situated?,Guayas,In which country is the province located where the city is situated that contains the university the spouse of the head of state of Ecuador attended?,Ecuador
places_country,South Africa,history of topic,history of South Africa,history of South Africa,What is the history of topic of South Africa?,History (of South Africa),0.0,"['history of South Africa', 'History (of South Africa)', 'geography of South Africa', 'culture of South Africa']",Can you tell me about the history of South Africa?,A. culture of South Africa  B. History (of South Africa)  C. geography of South Africa  D. history of South Africa,D,Is the history of topic of South Africa the history of South Africa?,Is the history of topic of South Africa History (of South Africa)?,What is the capital city of South Africa?,What country has the history of South Africa?,Who was the first president of South Africa after the end of apartheid?,Nelson Mandela,Which political party did the first president of South Africa after the end of apartheid belong to?,African National Congress (ANC),Who was the founder of the political party that the first president of South Africa after the end of apartheid belonged to?,John Langalibalele Dube,In which year was the political party founded by the founder of the political party that the first president of South Africa after the end of apartheid belonged to established?,1912,In which city was the political party founded in 1912 by the founder of the political party that the first president of South Africa after the end of apartheid belonged to established?,Bloemfontein
places_country,Malaysia,head of government,Anwar Ibrahim,Anwar Ibrahim,Who is the head of government of Malaysia?,Prime Minister (Muhyiddin Yassin as of 202,0.0,"['Anwar Ibrahim', 'Prime Minister (Muhyiddin Yassin as of 202', 'Mahathir Mohamad', 'Najib Razak']",Who serves as the head of government in Malaysia?,A. Najib Razak  B. Prime Minister (Muhyiddin Yassin as of 202  C. Anwar Ibrahim  D. Mahathir Mohamad,C,Is Anwar Ibrahim the head of government of Malaysia?,Is Prime Minister (Muhyiddin Yassin as of 202 the head of government of Malaysia?,What is the capital city of Malaysia?,Who is the head of government for Anwar Ibrahim?,Who is the spouse of the head of government of Malaysia?,Siti Hasmah Mohamad Ali,Which university did the spouse of the head of government of Malaysia attend for their medical degree?,King Edward VII College of Medicine,In which city is the university located where the spouse of the head of government of Malaysia attended for their medical degree?,Singapore,What is the official language of the country where the city is located that contains the university the spouse of the head of government of Malaysia attended?,Malay,What is the currency of the country where the official language is Malay and the city is located that contains the university the spouse of the head of government of Malaysia attended?,Singapore Dollar
places_country,Libya,replaces,Great Socialist People's Libyan Arab Jamahiriya,Great Socialist People's Libyan Arab Jamahiriya,What does Libya replace?,Green (in the Libyan flag),0.0,"[""Great Socialist People's Libyan Arab Jamahiriya"", 'Green (in the Libyan flag)', 'Kingdom of Libya', 'Libyan Arab Republic']",What did Libya replace?,A. Kingdom of Libya  B. Green (in the Libyan flag)  C. Great Socialist People's Libyan Arab Jamahiriya  D. Libyan Arab Republic,C,Does Libya replace Great Socialist People's Libyan Arab Jamahiriya?,Does Libya replace Green (in the Libyan flag)?,What is the capital city of Libya?,What replaces Great Socialist People's Libyan Arab Jamahiriya?,Who replaced the leader of Libya?,Fayez al-Sarraj,What position did the person who replaced the leader of Libya hold?,Prime Minister of the Government of National Accord,Which organization recognized the government led by the person who replaced the leader of Libya?,United Nations,In which year did the United Nations recognize the government led by the person who replaced the leader of Libya?,2016,Which city hosts the headquarters of the organization that recognized the government led by the person who replaced the leader of Libya?,New York City
places_country,Bolivia,geography of topic,geography of Bolivia,geography of Bolivia,What is the geography of topic of Bolivia?,South America,0.0,"['geography of Bolivia', 'South America', 'geography of Brazil', 'geography of Argentina']",What is the geographical topic of Bolivia?,A. geography of Argentina  B. South America  C. geography of Brazil  D. geography of Bolivia,D,Is the geography of topic of Bolivia the geography of Bolivia?,Is the geography of topic of Bolivia South America?,What is the capital city of Bolivia?,What country has the geography of Bolivia?,What is the capital city of Bolivia?,Sucre,What is the population of the capital city of Bolivia?,"Approximately 300,000",What is the main language spoken in the capital city of Bolivia?,Spanish,What is the predominant religion in the capital city of Bolivia?,Roman Catholicism,What is the name of the largest cathedral in the capital city of Bolivia?,Metropolitan Cathedral of Sucre
places_country,Oman,head of government,Haitham bin Tarik Al Said,Haitham bin Tarik Al Said,Who is the head of government of Oman?,Haitham bin Tariq Al Said,0.0,"['Haitham bin Tarik Al Said', 'Haitham bin Tariq Al Said', 'Qaboos bin Said Al Said', 'Sultan Haitham']",Who serves as the head of government in Oman?,A. Sultan Haitham  B. Haitham bin Tarik Al Said  C. Qaboos bin Said Al Said  D. Haitham bin Tariq Al Said,B,Is Haitham bin Tarik Al Said the head of government of Oman?,Is Haitham bin Tariq Al Said the head of government of Oman?,What is the capital city of Oman?,Who is Haitham bin Tarik Al Said the head of government of?,Who is the spouse of the head of government of Oman?,Ahad bint Abdullah,Which university did the spouse of the head of government of Oman attend?,Sultan Qaboos University,In which city is the university that the spouse of the head of government of Oman attended located?,Muscat,What is the population of the city where the university that the spouse of the head of government of Oman attended is located?,1.4 million,What is the primary language spoken in the city where the university that the spouse of the head of government of Oman attended is located?,Arabic
places_country,Belgium,official symbol,Papaver rhoeas,Papaver rhoeas,What is the official symbol of Belgium?,Lion (Belgian Lion),0.0,"['Papaver rhoeas', 'Lion (Belgian Lion)', 'Fleur-de-lis', 'Edelweiss']",Which emblem represents Belgium officially?,A. Lion (Belgian Lion)  B. Papaver rhoeas  C. Edelweiss  D. Fleur-de-lis,B,Is Papaver rhoeas the official symbol of Belgium?,Is Lion (Belgian Lion) the official symbol of Belgium?,What is the capital city of Belgium?,Which country has Papaver rhoeas as its official symbol?,What is the capital city of the country that has Belgium's official symbol?,Brussels,What is the population of the capital city of the country that has Belgium's official symbol?,1.2 million,What is the primary language spoken in the capital city of the country that has Belgium's official symbol?,French,What is the name of the famous square located in the capital city of the country that has Belgium's official symbol?,Grand Place,In which year was the famous square located in the capital city of the country that has Belgium's official symbol designated as a UNESCO World Heritage Site?,1998
places_country,Togo,head of state,Faure Essozimna Gnassingbé,Faure Essozimna Gnassingbé,Who is the head of state of Togo?,Faure Gnassingbé,0.0,"['Faure Essozimna Gnassingbé', 'Faure Gnassingbé', 'John Doe', 'Kofi Annan']",Who serves as the head of state for Togo?,A. John Doe  B. Faure Essozimna Gnassingbé  C. Kofi Annan  D. Faure Gnassingbé,B,Is Faure Essozimna Gnassingbé the head of state of Togo?,Is Faure Gnassingbé the head of state of Togo?,What is the capital city of Togo?,Of which country is Faure Essozimna Gnassingbé the head of state?,Who is the spouse of the head of state of Togo?,Claudine Gbassa,What is the profession of the spouse of the head of state of Togo?,Pharmacist,Which university did the spouse of the head of state of Togo attend?,University of Benin,In which city is the university located that the spouse of the head of state of Togo attended?,Lomé,In which country is the city located where the university that the spouse of the head of state of Togo attended is situated?,Togo
places_country,Iceland,head of state,Halla Tómasdóttir,Halla Tómasdóttir,Who is the head of state of Iceland?,President of Iceland,0.0,"['Halla Tómasdóttir', 'President of Iceland', 'Guðni Th. Jóhannesson', 'Katrín Jakobsdóttir']",Who holds the position of head of state in Iceland?,A. Katrín Jakobsdóttir  B. President of Iceland  C. Guðni Th. Jóhannesson  D. Halla Tómasdóttir,D,Is Halla Tómasdóttir the head of state of Iceland?,Is the President of Iceland the head of state of Iceland?,What is the capital city of Iceland?,Of which country is Halla Tómasdóttir the head of state?,Who is the spouse of the head of state of Iceland?,Eliza Reid,What is the nationality of the spouse of the head of state of Iceland?,Canadian,Which university did the Canadian spouse of the head of state of Iceland attend?,University of Oxford,"In which city is the University of Oxford located, where the Canadian spouse of the head of state of Iceland attended?",Oxford,"In which country is the city of Oxford located, where the University of Oxford is situated that the Canadian spouse of the head of state of Iceland attended?",United Kingdom
places_country,South Africa,described by source,Encyclopædia Britannica 11th edition,Encyclopædia Britannica 11th edition,What is the described by source of South Africa?,Rivers,0.0,"['Encyclopædia Britannica 11th edition', 'Rivers', 'Wikipedia', 'National Geographic']",Which source describes South Africa?,A. Rivers  B. Wikipedia  C. Encyclopædia Britannica 11th edition  D. National Geographic,C,Is the described by source of South Africa the Encyclopædia Britannica 11th edition?,Is the described by source of South Africa Rivers?,What is the capital city of South Africa?,Which country is described by the Encyclopædia Britannica 11th edition?,Who is the author of the source that describes South Africa?,Nelson Mandela,What is the title of the book written by the author who describes South Africa?,Long Walk to Freedom,In which year was the book titled 'Long Walk to Freedom' published?,1994,Which publishing house released the book 'Long Walk to Freedom' in 1994?,"Little, Brown and Company",In which city is the headquarters of the publishing house that released 'Long Walk to Freedom' located?,New York City
places_country,Libya,located in/on physical feature,North Africa,North Africa,What is the located in/on physical feature of Libya?,Sahara Desert,0.0,"['North Africa', 'Sahara Desert', 'Middle East', 'Mediterranean Sea']",Where is Libya situated geographically?,A. Mediterranean Sea  B. North Africa  C. Sahara Desert  D. Middle East,B,Is Libya located in North Africa?,Is Libya located in the Sahara Desert?,What is the capital city of Libya?,Which country is located in North Africa?,Which desert is Libya located in?,Sahara Desert,Which mountain range is located in the desert where Libya is situated?,Tibesti Mountains,"In which country are the Tibesti Mountains, located in the desert where Libya is situated, primarily found?",Chad,"What is the capital city of the country where the Tibesti Mountains, located in the desert where Libya is situated, are primarily found?",N'Djamena,"Which river flows through the capital city of the country where the Tibesti Mountains, located in the desert where Libya is situated, are primarily found?",Chari River
places_country,Montenegro,named after,Lovćen,Lovćen,What was Montenegro named after?,Mountain black (Montenegro derives from the Slavic words for,0.0,"['Lovćen', 'Mountain black', 'Durmitor', 'Bjelasica']",After what was Montenegro named?,A. Mountain black (Montenegro derives from the Slavic words for  B. Durmitor  C. Bjelasica  D. Lovćen,D,Was Montenegro named after Lovćen?,Was Montenegro named after Mountain black?,What is the capital city of Montenegro?,What is named after Lovćen?,Who is Montenegro named after?,Black Mountain,In which language is the name 'Black Mountain' translated to 'Montenegro'?,Italian,Which country primarily speaks the language in which 'Black Mountain' is translated to 'Montenegro'?,Italy,What is the capital city of the country that primarily speaks the language in which 'Black Mountain' is translated to 'Montenegro'?,Rome,Which river flows through the capital city of the country that primarily speaks the language in which 'Black Mountain' is translated to 'Montenegro'?,Tiber
places_country,Iran,geography of topic,geography of Iran,geography of Iran,What is the geography of topic of Iran?,Middle East,0.0,"['geography of Iran', 'Middle East', 'climate of Iran', 'population of Iran']",What is the geographical topic of Iran?,A. population of Iran  B. Middle East  C. climate of Iran  D. geography of Iran,D,Is the geography of topic of Iran the geography of Iran?,Is the geography of topic of Iran the Middle East?,What is the capital city of Iran?,What country has the geography of Iran as its geographical topic?,What is the capital city of Iran?,Tehran,What is the population of the capital city of Iran?,Approximately 8.7 million,What is the main language spoken in the capital city of Iran?,Persian,What is the name of the currency used in the country where the capital city of Iran is located?,Iranian Rial,Which continent is the country located in that uses the Iranian Rial as its currency?,Asia
places_country,Belgium,history of topic,history of Belgium,history of Belgium,What is the history of topic of Belgium?,History (of Belgium),0.0,"['history of Belgium', 'History (of Belgium)', 'Belgian history', ""Belgium's past""]",Can you tell me about the history of Belgium?,A. History (of Belgium)  B. Belgium's past  C. Belgian history  D. history of Belgium,D,Is the history of topic of Belgium the history of Belgium?,Is the history of topic of Belgium History (of Belgium)?,What is the capital city of Belgium?,What country has the history of Belgium as its history of topic?,Who was the first king in the history of Belgium?,Leopold I,"Which country was Leopold I, the first king in the history of Belgium, originally from?",Germany,"What was the name of the German duchy where Leopold I, the first king in the history of Belgium, was born?",Duchy of Saxe-Coburg-Saalfeld,"In which year was the Duchy of Saxe-Coburg-Saalfeld, the birthplace of Leopold I, the first king in the history of Belgium, established?",1680,"Which Holy Roman Emperor was ruling when the Duchy of Saxe-Coburg-Saalfeld, the birthplace of Leopold I, the first king in the history of Belgium, was established?",Leopold I
places_country,Bangladesh,geography of topic,geography of Bangladesh,geography of Bangladesh,What is the geography of topic of Bangladesh?,Geography: South Asia,0.0,"['geography of Bangladesh', 'Geography: South Asia', 'geography of India', 'geography of Pakistan']",What is the geographical topic related to Bangladesh?,A. geography of Bangladesh  B. geography of Pakistan  C. geography of India  D. Geography: South Asia,A,Is the geography of topic of Bangladesh the geography of Bangladesh?,Is the geography of topic of Bangladesh Geography: South Asia?,What is the capital city of Bangladesh?,What country has the geography of Bangladesh as its geographical topic?,What is the capital city of Bangladesh?,Dhaka,Which river flows through the capital city of Bangladesh?,Buriganga River,What is the source of the river that flows through the capital city of Bangladesh?,Dhaleshwari River,Which major river system is the source of the river that flows through the capital city of Bangladesh part of?,Padma River,Which country does the major river system that includes the source of the river flowing through the capital city of Bangladesh originate from?,India
places_country,Mexico,head of state,Andrés Manuel López Obrador,Andrés Manuel López Obrador,Who is the head of state of Mexico?,President,0.0,"['Andrés Manuel López Obrador', 'President', 'Enrique Peña Nieto', 'Felipe Calderón']",Who currently serves as the head of state in Mexico?,A. Andrés Manuel López Obrador  B. Enrique Peña Nieto  C. Felipe Calderón  D. President,A,Is Andrés Manuel López Obrador the head of state of Mexico?,Is President the head of state of Mexico?,What is the capital city of Mexico?,Who is the head of state of Andrés Manuel López Obrador?,Who is the spouse of the head of state of Mexico?,Beatriz Gutiérrez Müller,What is the profession of the spouse of the head of state of Mexico?,Writer and journalist,Which university did the spouse of the head of state of Mexico attend?,Ibero-American University,In which city is the university located that the spouse of the head of state of Mexico attended?,Mexico City,What is the population of the city where the university is located that the spouse of the head of state of Mexico attended?,Approximately 9 million
places_country,Israel,foundational text,Declaration of the Establishment of the State of Israel,Declaration of the Establishment of the State of Israel,What is the foundational text of Israel?,Torah,0.0,"['Declaration of the Establishment of the State of Israel', 'Torah', 'Constitution of Israel', 'Israeli Basic Laws']",What document serves as the foundational text of Israel?,A. Israeli Basic Laws  B. Declaration of the Establishment of the State of Israel  C. Constitution of Israel  D. Torah,B,Is the Declaration of the Establishment of the State of Israel the foundational text of Israel?,Is the Torah the foundational text of Israel?,What is the capital city of Israel?,Which country's foundational text is the Declaration of the Establishment of the State of Israel?,Who is the author of the foundational text of Israel?,Moses,Who was the brother of the author of the foundational text of Israel?,Aaron,Who was the wife of the brother of the author of the foundational text of Israel?,Elisheba,Who was the son of the wife of the brother of the author of the foundational text of Israel?,Eleazar,Who was the grandson of the wife of the brother of the author of the foundational text of Israel?,Phinehas
places_country,The Gambia,history of topic,history of the Gambia,history of the Gambia,What is the history of topic of The Gambia?,"History: Colonialism, Independence (1965), Jamme",0.0,"['history of the Gambia', 'History: Colonialism, Independence (1965), Jamme', 'history of Senegal', 'history of Ghana']",What is the historical background of The Gambia?,"A. history of the Gambia  B. history of Ghana  C. History: Colonialism, Independence (1965), Jamme  D. history of Senegal",A,Is the history of topic of The Gambia the history of the Gambia?,"Is the history of topic of The Gambia History: Colonialism, Independence (1965), Jamme?",What is the official language of The Gambia?,What country has the history of the Gambia as its history of topic?,Who was the first President in the history of The Gambia?,Dawda Jawara,Which political party did the first President in the history of The Gambia belong to?,People's Progressive Party,In which year was the political party founded that the first President in the history of The Gambia belonged to?,1959,Who was the founder of the political party that was established in 1959 and that the first President in the history of The Gambia belonged to?,Dawda Jawara,"Which British colony did the founder of the political party that was established in 1959 and that the first President in the history of The Gambia belonged to, come from?",The Gambia
places_country,Zambia,head of state,Hakainde Hichilema,Hakainde Hichilema,Who is the head of state of Zambia?,President Lungu,0.0,"['Hakainde Hichilema', 'President Lungu', 'Edgar Lungu', 'Michael Sata']",Who currently serves as the head of state of Zambia?,A. Hakainde Hichilema  B. President Lungu  C. Edgar Lungu  D. Michael Sata,A,Is Hakainde Hichilema the head of state of Zambia?,Is President Lungu the head of state of Zambia?,What is the capital city of Zambia?,Who is Hakainde Hichilema the head of state of?,Who is the spouse of the head of state of Zambia?,Esther Lungu,Which organization is the spouse of the head of state of Zambia associated with?,Esther Lungu Foundation Trust,What is the primary focus of the organization associated with the spouse of the head of state of Zambia?,Empowerment of women and children,"In which year was the organization that focuses on the empowerment of women and children, associated with the spouse of the head of state of Zambia, established?",2015,Which city is the headquarters of the organization established in 2015 that focuses on the empowerment of women and children and is associated with the spouse of the head of state of Zambia?,Lusaka
places_country,Myanmar,flag,flag of Myanmar,flag of Myanmar,What is the flag of Myanmar?,Union Flag,0.0,"['flag of Myanmar', 'Union Flag', 'Stars and Stripes', 'Maple Leaf']",Can you tell me what the flag of Myanmar is?,A. Union Flag  B. Stars and Stripes  C. Maple Leaf  D. flag of Myanmar,D,Is the flag of Myanmar the flag of Myanmar?,Is the flag of Myanmar the Union Flag?,What is the capital city of Myanmar?,Which country has the flag of Myanmar?,What are the colors on the flag of Myanmar?,"Yellow, green, red, and white",What is the symbol on the flag of Myanmar?,A white star,What does the white star on the flag of Myanmar represent?,The union of the country,When was the current flag of Myanmar adopted?,21 October 2010,Which government body adopted the current flag of Myanmar?,The State Peace and Development Council
places_country,Mauritania,history of topic,history of Mauritania,history of Mauritania,What is the history of topic of Mauritania?,"Mauritania's history spans centuries, with significant periods under Moor",0.0,"['history of Mauritania', ""Mauritania's history spans centuries, with significant periods under Moor"", 'ancient history of Mauritania', ""Mauritania's colonial history""]",What is the historical background of Mauritania?,"A. ancient history of Mauritania  B. Mauritania's colonial history  C. Mauritania's history spans centuries, with significant periods under Moor  D. history of Mauritania",D,Is the history of topic of Mauritania the history of Mauritania?,"Is the history of topic of Mauritania Mauritania's history spans centuries, with significant periods under Moor?",What is the capital city of Mauritania?,What country has the history of Mauritania as its history of topic?,Who was the first President in the history of Mauritania?,Moktar Ould Daddah,In which year did the first President in the history of Mauritania assume office?,1960,Which colonial power did Mauritania gain independence from in 1960?,France,What is the capital city of the country that Mauritania gained independence from in 1960?,Paris,On which river is the capital city of the country that Mauritania gained independence from in 1960 located?,Seine
places_country,People's Republic of China,follows,Republic of China,Republic of China,What does People's Republic of China follow?,Socialist system,0.0,"['Republic of China', 'Socialist system', 'United States of America', 'Soviet Union']",Which entity does the People's Republic of China follow?,A. Soviet Union  B. Republic of China  C. United States of America  D. Socialist system,B,Does the People's Republic of China follow the Republic of China?,Does the People's Republic of China follow the Socialist system?,What is the capital city of the People's Republic of China?,Who follows the Republic of China?,Which political ideology does the People's Republic of China follow?,Communism,Who is the primary theorist behind the political ideology that the People's Republic of China follows?,Karl Marx,What is the title of the most famous work by the primary theorist behind the political ideology that the People's Republic of China follows?,The Communist Manifesto,Who co-authored the most famous work with the primary theorist behind the political ideology that the People's Republic of China follows?,Friedrich Engels,In which year was the most famous work co-authored by the primary theorist and his collaborator behind the political ideology that the People's Republic of China follows published?,1848
places_country,Somalia,head of state,Hassan Sheikh Mohamud,Hassan Sheikh Mohamud,Who is the head of state of Somalia?,President Farmajo,0.0,"['Hassan Sheikh Mohamud', 'President Farmajo', 'Abdullahi Yusuf Ahmed', 'Sharif Sheikh Ahmed']",Who serves as the head of state for Somalia?,A. President Farmajo  B. Abdullahi Yusuf Ahmed  C. Sharif Sheikh Ahmed  D. Hassan Sheikh Mohamud,D,Is Hassan Sheikh Mohamud the head of state of Somalia?,Is President Farmajo the head of state of Somalia?,What is the capital city of Somalia?,Of which country is Hassan Sheikh Mohamud the head of state?,Who is the spouse of the head of state of Somalia?,Zeinab Abdi Moalim,Which country is the spouse of the head of state of Somalia from?,Somalia,What is the capital city of the country that the spouse of the head of state of Somalia is from?,Mogadishu,Which ocean is the capital city of the country that the spouse of the head of state of Somalia is from located near?,Indian Ocean,Which continent is the ocean located near the capital city of the country that the spouse of the head of state of Somalia is from part of?,Africa
places_country,Israel,location of formation,Independence Hall,Independence Hall,What is the location of formation of Israel?,Middle East,0.0,"['Independence Hall', 'Middle East', 'Tel Aviv', 'Jerusalem']",Where was Israel formed?,A. Jerusalem  B. Tel Aviv  C. Independence Hall  D. Middle East,C,Is the location of formation of Israel Independence Hall?,Is the location of formation of Israel the Middle East?,What is the capital city of Israel?,What country was formed at Independence Hall?,What is the capital city of the country where Israel was formed?,Jerusalem,What is the official language spoken in the capital city of the country where Israel was formed?,Hebrew,What is the alphabet used to write the official language spoken in the capital city of the country where Israel was formed?,Hebrew alphabet,What is the name of the ancient script that evolved into the alphabet used to write the official language spoken in the capital city of the country where Israel was formed?,Phoenician script,Which ancient civilization developed the script that evolved into the alphabet used to write the official language spoken in the capital city of the country where Israel was formed?,Phoenicians
places_country,Uruguay,history of topic,history of Uruguay,history of Uruguay,What is the history of topic of Uruguay?,History (Uruguay),0.0,"['history of Uruguay', 'History (Uruguay)', 'Uruguayan culture', 'Geography of Uruguay']",Can you tell me about the history of Uruguay?,A. History (Uruguay)  B. Geography of Uruguay  C. history of Uruguay  D. Uruguayan culture,C,Is the history of topic of Uruguay the history of Uruguay?,Is the history of topic of Uruguay History (Uruguay)?,What is the capital city of Uruguay?,What country has the history of Uruguay as its history of topic?,Who was the first president in the history of Uruguay?,Fructuoso Rivera,In which year did the first president in the history of Uruguay take office?,1830,Which significant event in Uruguay's history occurred in the same year the first president took office?,Uruguay's first constitution was adopted,Who was the main author of Uruguay's first constitution adopted in 1830?,José Rondeau,"Which country did José Rondeau, the main author of Uruguay's first constitution, originally come from?",Argentina
