topic,type,subject,relation,object,question,label,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3
places_landmark,wh,Altare della Patria,Wi-Fi access,gratis,What is the Wi-Fi access of Altare della Patria?,gratis,There is no Wi-Fi access at Altare della Patria.,0.0
places_landmark,wh,Tarxien Temples,owned by,Heritage Malta,What was Tarxien Temples owned by?,Heritage Malta,Temple Builders (or the Maltese people),0.0
places_landmark,wh,bulletproof glass,made from material,One World Trade Center,Which tourist attraction's made from material is bulletproof glass?,One World Trade Center,Louvre Pyramid,0.0
places_landmark,wh,Philippe Méaille,chairperson,Château de Montsoreau-Museum of Contemporary Art,Which tourist attraction's chairperson is Philippe Méaille?,Château de Montsoreau-Museum of Contemporary Art,Louvre Museum (chairperson),0.0
places_landmark,wh,"Thomas Lincoln Casey, Sr.",architect,Washington Monument,"Which tourist attraction architect Thomas Lincoln Casey, Sr.?",Washington Monument,The Capitol Building (Washington D.C.),0.0
places_landmark,wh,Cologne Cathedral,diocese,Roman Catholic Archdiocese of Cologne,What is the diocese of Cologne Cathedral?,Roman Catholic Archdiocese of Cologne,Cologne (Germany),0.0
places_landmark,wh,Charles François de Mondion,architect,National Museum of Natural History,Which tourist attraction architect Charles François de Mondion?,National Museum of Natural History,Louvre Palace (initially),0.0
places_landmark,wh,Kano,located in the administrative territorial entity,Ancient Kano City Walls,Which tourist attraction's located in the administrative territorial entity is Kano?,Ancient Kano City Walls,Kano Tower (or Kano City Tower),0.0
places_landmark,wh,National Portrait Gallery of Sweden,occupant,Gripsholm Castle,Which tourist attraction's occupant is National Portrait Gallery of Sweden?,Gripsholm Castle,The National Portrait Gallery of Sweden's occupant is art.,0.0
places_landmark,wh,Bosporus,located in or next to body of water,Maiden's Tower,Which tourist attraction's located in or next to body of water is Bosporus?,Maiden's Tower,"Bosporus Strait. (It's not a tourist attraction itself,",0.0
places_landmark,wh,Saint-Germain-l'Auxerrois,located in the administrative territorial entity,Pont Neuf,Which tourist attraction's located in the administrative territorial entity is Saint-Germain-l'Auxerrois?,Pont Neuf,Paris (France),0.0
places_landmark,wh,Garage Center for Contemporary Culture,architect,Rem Koolhaas,Who does Garage Center for Contemporary Culture architect?,Rem Koolhaas,Unspecified in the provided information.,0.0
places_landmark,wh,"Bavarian Administration of State-Owned Palaces, Gardens and Lakes",owned by,Coburg Fortress,"Which tourist attraction was owned by Bavarian Administration of State-Owned Palaces, Gardens and Lakes?",Coburg Fortress,Neuschwanstein Castle,0.0
places_landmark,wh,Justus Vingboons,architect,Swedish House of Nobility,Which tourist attraction architect Justus Vingboons?,Swedish House of Nobility,Rijksmuseum (Amsterdam),0.0
places_landmark,wh,Greenwich,located in the administrative territorial entity,Royal Observatory,Which tourist attraction's located in the administrative territorial entity is Greenwich?,Royal Observatory,"Greenwich is located in London, England.",0.0
places_landmark,wh,Dufourspitze,highest point,Swiss Alps,Which tourist attraction's highest point is Dufourspitze?,Swiss Alps,Matterhorn.,0.0
places_landmark,wh,Surabaya,twinned administrative body,Busan,Which tourist attraction's twinned administrative body is Surabaya?,Busan,Metropolitan Area of East Java (MAEJ),0.0
places_landmark,wh,Jiří Janda,founded by,Prague Zoo,Which tourist attraction was founded by Jiří Janda?,Prague Zoo,Prague Astronomical Clock,0.0
places_landmark,wh,Commerzbank AG,occupant,Shanghai World Financial Center,Which tourist attraction's occupant is Commerzbank AG?,Shanghai World Financial Center,"Commerzbank Tower (Frankfurt, Germany)",0.0
places_landmark,wh,Halland Museum of Cultural History,operator,Varberg Fortress,Which tourist attraction's operator is Halland Museum of Cultural History?,Varberg Fortress,Halland Museum of Cultural History operates itself.,0.0
places_landmark,wh,Mount Faber,located in the administrative territorial entity,Bukit Merah,Who is the located in the administrative territorial entity of Mount Faber?,Bukit Merah,Singapore (City-State),0.0
places_landmark,wh,avenue du Maine,located on street,Montparnasse Tower,Which tourist attraction's located on street is avenue du Maine?,Montparnasse Tower,Arc de Triomphe.,0.0
places_landmark,wh,The Cloisters,founded by,George Grey Barnard,Who was The Cloisters founded by?,George Grey Barnard,John D. Rockefeller Jr.,0.0
places_landmark,wh,Charles Follen McKim,architect,National Museum of Natural History,Which tourist attraction architect Charles Follen McKim?,National Museum of Natural History,The Biltmore Estate.,0.0
places_landmark,wh,Yıldız Palace,architect,Raimondo Tommaso D'Aronco,Who does Yıldız Palace architect?,Raimondo Tommaso D'Aronco,Sultan Abdülaziz (commissioned the original design). Later add,0.0
places_landmark,wh,Drottningholm Palace,commissioned by,Hedvig Eleonora of Holstein-Gottorp,Who was Drottningholm Palace commissioned by?,Hedvig Eleonora of Holstein-Gottorp,King Karl XI of Sweden,0.0
places_landmark,wh,Drottningholm Palace,architect,Nicodemus Tessin the Elder,Who does Drottningholm Palace architect?,Nicodemus Tessin the Elder,Nicodemus Tessin the Younger.,0.0
places_landmark,wh,Drottningholm Palace,owned by,National Property Board of Sweden,What was Drottningholm Palace owned by?,National Property Board of Sweden,Swedish monarchy,0.0
places_landmark,wh,Jakob Nielsen,structural engineer,Varberg Fortress,Which tourist attraction's structural engineer is Jakob Nielsen?,Varberg Fortress,The Sydney Opera House.,0.0
places_landmark,wh,Kenneth Murray,founded by,"Nigerian National Museum, Lagos",Which tourist attraction was founded by Kenneth Murray?,"Nigerian National Museum, Lagos",Stonehenge (monument),0.0
places_landmark,wh,Davis Brody Bond,architect,National September 11 Memorial & Museum,Which tourist attraction architect Davis Brody Bond?,National September 11 Memorial & Museum,Guggenheim Museum Bilbao,0.0
places_landmark,wh,Durst Organization,occupant,One World Trade Center,Which tourist attraction's occupant is Durst Organization?,One World Trade Center,Empire State Building,0.0
places_landmark,wh,concert hall,field of work,Sydney Opera House,Which tourist attraction's field of work is concert hall?,Sydney Opera House,Concert Hall is not a tourist attraction. It's a type of building,0.0
places_landmark,wh,Wartburg,inspired by,Neuschwanstein Castle,Which tourist attraction was inspired by Wartburg?,Neuschwanstein Castle,Eisenach Castle,0.0
places_landmark,wh,English Heritage,owned by,Fountains Abbey,Which tourist attraction was owned by English Heritage?,Fountains Abbey,Stonehenge (among others),0.0
places_landmark,wh,Strand,located on street,Somerset House,Which tourist attraction's located on street is Strand?,Somerset House,Blackpool (Tower),0.0
places_landmark,wh,Museum of the Masovian Nobility in Ciechanów,closed on,Monday,When did Museum of the Masovian Nobility in Ciechanów close on?,Monday,Closure date not specified in the question.,0.0
places_landmark,wh,Museum of the Masovian Nobility in Ciechanów,activity policy in this place,smoking ban,What is the activity policy in this place of Museum of the Masovian Nobility in Ciechanów?,smoking ban,Visitor guidelines.,0.0
places_landmark,wh,John McShain,main building contractor,The Pentagon,Which tourist attraction's main building contractor is John McShain?,The Pentagon,Washington Monument,0.0
places_landmark,wh,Graceland,architectural style,Colonial Revival architecture,What is the architectural style of Graceland?,Colonial Revival architecture,Memphis Eclectic,0.0
places_landmark,wh,Royal Observatory,architect,Christopher Wren,Who does Royal Observatory architect?,Christopher Wren,Not specified in historical records.,0.0
places_landmark,wh,Royal Observatory,present in work,Now You See Me 2,What is the present in work of Royal Observatory?,Now You See Me 2,"Astronomy, Timekeeping, Research",0.0
places_landmark,wh,17th arrondissement of Paris,located in the administrative territorial entity,Hyatt Regency Paris Etoile,Which tourist attraction's located in the administrative territorial entity is 17th arrondissement of Paris?,Hyatt Regency Paris Etoile,Palais de Tokyo,0.0
places_landmark,wh,dome,has part(s),St Paul's Cathedral,Which tourist attraction has part(s) dome?,St Paul's Cathedral,St. Peter's Basilica (dome) or the Taj,0.0
places_landmark,wh,Mount Fuji,located in protected area,Fuji-Hakone-Izu National Park,What is the located in protected area of Mount Fuji?,Fuji-Hakone-Izu National Park,Fauna (wildlife),0.0
places_landmark,wh,Egyptian Revival architecture,architectural style,Washington Monument,Which tourist attraction's architectural style is Egyptian Revival architecture?,Washington Monument,The Statue of Liberty.,0.0
places_landmark,wh,Leskovac,twinned administrative body,Petra,Which tourist attraction's twinned administrative body is Leskovac?,Petra,Leskovac's twinned administrative body is with Krusevac,0.0
places_landmark,wh,Helsinki Parish Union,owned by,Helsinki Cathedral,Which tourist attraction was owned by Helsinki Parish Union?,Helsinki Cathedral,Temppeliaukio Church,0.0
places_landmark,wh,University of Central Florida,operator,Arecibo Observatory,Which tourist attraction's operator is University of Central Florida?,Arecibo Observatory,None. The University of Central Florida does not operate a tourist attraction.,0.0
places_landmark,wh,Domvs Romana,located in the administrative territorial entity,Mdina,What is the located in the administrative territorial entity of Domvs Romana?,Mdina,"Not specified (Domvs Romana is an archaeological site, not an administrative",0.0
places_landmark,wh,Domvs Romana,maintained by,Heritage Malta,What was Domvs Romana maintained by?,Heritage Malta,Roman household.,0.0
places_landmark,wh,Domvs Romana,country,Malta,What is the country of Domvs Romana?,Malta,Italy,0.0
places_landmark,wh,neoclassicism,movement,Statue of Liberty,Which tourist attraction's movement is neoclassicism?,Statue of Liberty,Louvre Museum (architecture),0.0
places_landmark,wh,neoclassicism,culture,Mole Antonelliana,Which tourist attraction's culture is neoclassicism?,Mole Antonelliana,Louvre Museum (Paris),0.0
places_landmark,wh,gneiss,made from material,Washington Monument,Which tourist attraction's made from material is gneiss?,Washington Monument,Stonehenge.,0.0
places_landmark,wh,Tendai,religion or worldview,Sensō-ji,Which tourist attraction's religion or worldview is Tendai?,Sensō-ji,Mount Koya's religion is Tendai.,0.0
places_landmark,wh,Qinghai,located in the administrative territorial entity,Great Wall of China,Which tourist attraction's located in the administrative territorial entity is Qinghai?,Great Wall of China,Potala Palace (Tibet Autonomous Region) or Qingh,0.0
places_landmark,wh,Belém Tower,architect,Francisco de Arruda,Who does Belém Tower architect?,Francisco de Arruda,João de Castilho,0.0
places_landmark,wh,Platz der Republik,located on street,Reichstag building,Which tourist attraction's located on street is Platz der Republik?,Reichstag building,Brandenburg Gate,0.0
places_landmark,wh,transport,significant event,Statue of Liberty,Which tourist attraction's significant event is transport?,Statue of Liberty,Transport Museum,0.0
places_landmark,wh,sand,made from material,Dune of Pilat,Which tourist attraction's made from material is sand?,Dune of Pilat,Beach,0.0
places_landmark,wh,Centro de Arte Moderna Gulbenkian,director / manager,Benjamin Weil,Who is the director / manager of Centro de Arte Moderna Gulbenkian?,Benjamin Weil,"I'm sorry for any inconvenience, but I don't have",0.0
places_landmark,wh,Easter Monday,closed on,Castle of the Masovian Dukes in Ciechanów,Which tourist attraction closed on Easter Monday?,Castle of the Masovian Dukes in Ciechanów,"Closure varies, check specific attraction.",0.0
places_landmark,wh,Moscow Planetarium,located in the administrative territorial entity,Presnensky District,What is the located in the administrative territorial entity of Moscow Planetarium?,Presnensky District,"Moscow Planetarium is located in Moscow, Russia.",0.0
places_landmark,wh,Moscow Planetarium,architect,Michael Osipovich Barshch,Who does Moscow Planetarium architect?,Michael Osipovich Barshch,Freitag and Schmidt.,0.0
places_landmark,wh,Easter,closed on,Castle of the Masovian Dukes in Ciechanów,Which tourist attraction closed on Easter?,Castle of the Masovian Dukes in Ciechanów,Depends on the specific tourist attraction.,0.0
places_landmark,wh,Heraklion Municipality,located in the administrative territorial entity,Knossos,Which tourist attraction's located in the administrative territorial entity is Heraklion Municipality?,Knossos,Crete's Heraklion Archaeological Museum.,0.0
places_landmark,wh,Frank Lloyd Wright,architect,Solomon R. Guggenheim Museum,Which tourist attraction architect Frank Lloyd Wright?,Solomon R. Guggenheim Museum,"Taliesin, his home and studio in Wisconsin.",0.0
places_landmark,wh,Hermitage Museum,architect,Francesco Bartolomeo Rastrelli,Who does Hermitage Museum architect?,Francesco Bartolomeo Rastrelli,Unknown (it was designed by various architects over time),0.0
places_landmark,wh,Strängnäs Cathedral,made from material,brick,What is the made from material of Strängnäs Cathedral?,brick,Stone,0.0
places_landmark,wh,Gateway Arch,heritage designation,National Historic Landmark,What is the heritage designation of Gateway Arch?,National Historic Landmark,National Historic Engineering Landmark,0.0
places_landmark,wh,Gateway Arch,architectural style,high-tech architecture,What is the architectural style of Gateway Arch?,high-tech architecture,Modernist,0.0
places_landmark,wh,Bronze Age,time period,Stonehenge,Which tourist attraction's time period is Bronze Age?,Stonehenge,Mystras (Bronze Age-Byzantine),0.0
places_landmark,wh,Linnanmäki,owned by,Children's Day Foundation,What was Linnanmäki owned by?,Children's Day Foundation,"Tivoli-Nykredit Group (initially), City of Hels",0.0
places_landmark,wh,Linnanmäki,located in the administrative territorial entity,Helsinki,What is the located in the administrative territorial entity of Linnanmäki?,Helsinki,Finland (assuming you're asking about the location of Linnanm,0.0
places_landmark,wh,Petronas Towers,structural engineer,Thornton Tomasetti,Who is the structural engineer of Petronas Towers?,Thornton Tomasetti,"Cesar Pelli (Architectural Designer, not Structural Engineer",0.0
places_landmark,wh,Petronas Towers,main building contractor,Hazama Ando Corporation,What is the main building contractor of Petronas Towers?,Hazama Ando Corporation,Hassan Abdul Rahman. (He was the main contractor for the,0.0
places_landmark,wh,World War II,significant event,Palace Armoury,Which tourist attraction's significant event is World War II?,Palace Armoury,Pearl Harbor,0.0
places_landmark,wh,Henry II of England,occupant,Windsor Castle,Which tourist attraction's occupant is Henry II of England?,Windsor Castle,Tower of London,0.0
places_landmark,wh,Hornblower & Marshall,architect,National Museum of Natural History,Which tourist attraction architect Hornblower & Marshall?,National Museum of Natural History,Sydney Opera House,0.0
places_landmark,wh,Fort Canning Hill,named after,"Charles Canning, 1st Earl Canning",Who was Fort Canning Hill named after?,"Charles Canning, 1st Earl Canning",Stamford Raffles,0.0
places_landmark,wh,Fort Canning Hill,operator,National Parks Board,What is the operator of Fort Canning Hill?,National Parks Board,Singapore Management University (SMU),0.0
places_landmark,wh,Pierre de Chelles,architect,Notre-Dame de Paris,Which tourist attraction architect Pierre de Chelles?,Notre-Dame de Paris,"Not Specified (Pierre de Chelles was a medieval French architect,",0.0
places_landmark,wh,contemporary art,main subject,Villa Menafoglio Litta Panza,Which tourist attraction's main subject is contemporary art?,Villa Menafoglio Litta Panza,Tate Modern,0.0
places_landmark,wh,contemporary art,named after,Château de Montsoreau-Museum of Contemporary Art,Which tourist attraction was named after contemporary art?,Château de Montsoreau-Museum of Contemporary Art,Guggenheim Museum Bilbao,0.0
places_landmark,wh,Lookout Mountain,located in the administrative territorial entity,Rock City,Which tourist attraction's located in the administrative territorial entity is Lookout Mountain?,Rock City,"Tennessee (or Georgia, depending on the specific viewpoint)",0.0
places_landmark,wh,Colen Campbell,architect,Stourhead,Which tourist attraction architect Colen Campbell?,Stourhead,"Syon House (not solely designed by Campbell, but he made significant contributions)",0.0
places_landmark,wh,Nemrut,mountain range,Armenian Highlands,What is the mountain range of Nemrut?,Armenian Highlands,"Nemrut Mountain, not Nemrut Range.",0.0
places_landmark,wh,Ancient Egypt,time period,The Great Sphinx,Which tourist attraction's time period is Ancient Egypt?,The Great Sphinx,Ancient Egypt's time period is not associated with a specific tourist attraction.,0.0
places_landmark,wh,Fernsehturm Berlin,architect,Hermann Henselmann,Who does Fernsehturm Berlin architect?,Hermann Henselmann,Helmut Hentrich and Hubert Ritter,0.0
places_landmark,wh,City of Fremantle,located in the administrative territorial entity,Fremantle Prison,Which tourist attraction's located in the administrative territorial entity is City of Fremantle?,Fremantle Prison,Rottnest Island.,0.0
places_landmark,wh,Ferdinand I of the Two Sicilies,founded by,Naples National Archaeological Museum,Which tourist attraction was founded by Ferdinand I of the Two Sicilies?,Naples National Archaeological Museum,Capodimonte Museum,0.0
places_landmark,wh,Jurong East,located in the administrative territorial entity,Science Centre Singapore,Which tourist attraction's located in the administrative territorial entity is Jurong East?,Science Centre Singapore,Gardens by the Bay (in Singapore).,0.0
places_landmark,wh,Carlos J. Gradin,director of archaeological fieldwork,Cueva de las Manos,Which tourist attraction's director of archaeological fieldwork is Carlos J. Gradin?,Cueva de las Manos,Machu Picchu (assuming the question refers to a specific tourist attraction,0.0
places_landmark,wh,Montparnasse – Bienvenüe,adjacent building,Montparnasse Tower,Which tourist attraction's adjacent building is Montparnasse – Bienvenüe?,Montparnasse Tower,Tower (Eiffel),0.0
places_landmark,wh,John J. Borg,curator,National Museum of Natural History,Which tourist attraction's curator is John J. Borg?,National Museum of Natural History,Malta National Aquarium (Curator),0.0
places_landmark,wh,Southbank Centre,movement,brutalism,What is the movement of Southbank Centre?,brutalism,"The Southbank Centre is stationary, as it is a building or complex of",0.0
places_landmark,wh,Southbank Centre,located in the administrative territorial entity,London Borough of Lambeth,What is the located in the administrative territorial entity of Southbank Centre?,London Borough of Lambeth,"Southbank Centre is located in London, United Kingdom.",0.0
places_landmark,wh,Mecca,head of government,Khalid bin Faisal Al Saud,Who is the head of government of Mecca?,Khalid bin Faisal Al Saud,"Saudi Arabia's King is the head of government, as Mecca is part",0.0
places_landmark,wh,Paolo Giulierini,director / manager,Naples National Archaeological Museum,Which tourist attraction's director / manager is Paolo Giulierini?,Naples National Archaeological Museum,Colosseum (Rome),0.0
places_landmark,wh,Grandmaster's Palace,location,Palace Armoury,Which tourist attraction's location is Grandmaster's Palace?,Palace Armoury,Malta,0.0
places_landmark,wh,Theater Confidencen,significant event,reconstruction,What is the significant event of Theater Confidencen?,reconstruction,"Theater Confidencen is a theater festival, so there isn't a",0.0
places_landmark,wh,Theater Confidencen,architect,Carl Fredrik Adelcrantz,Who does Theater Confidencen architect?,Carl Fredrik Adelcrantz,Unknown without specific reference.,0.0
places_landmark,wh,MUNCH,named after,Edvard Munch,Who was MUNCH named after?,Edvard Munch,"Munch was named after his father, Christian Munch.",0.0
places_landmark,wh,MUNCH,architect,Juan Herreros,Who does MUNCH architect?,Juan Herreros,Zaha Hadid Architects (until her death in 2016,0.0
places_landmark,wh,MUNCH,replaces,Munch Museum,What does MUNCH replace?,Munch Museum,Cheese,0.0
places_landmark,wh,MUNCH,chief executive officer,Stein Olav Henrichsen,Who is the chief executive officer of MUNCH?,Stein Olav Henrichsen,"I'm sorry for any confusion, but as of my last update, M",0.0
places_landmark,wh,Smithsonian Marine Station at Fort Pierce,has part(s),National Museum of Natural History,Which tourist attraction has part(s) Smithsonian Marine Station at Fort Pierce?,National Museum of Natural History,"Fort Pierce, Florida",0.0
places_landmark,wh,St Mark's Campanile,has part(s),St Mark's Basilica,Which tourist attraction has part(s) St Mark's Campanile?,St Mark's Basilica,St Mark's Square (Piazza San Marco),0.0
