topic,type,subject,relation,object,question,label,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct,paraphrased_question,yes_question,no_question,multiple_choice_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
places_country,wh,Kingdom of the Netherlands,country,Sint Maarten,Which country's country is Kingdom of the Netherlands?,Sint Maarten,Netherlands,0.0,Which country is associated with the Kingdom of the Netherlands?,Is Sint Maarten a country of the Kingdom of the Netherlands?,Is the Netherlands a country of the Kingdom of the Netherlands?,"{'question': 'Which country is part of the Kingdom of the Netherlands?', 'options': {'A': 'Sint Maarten', 'B': 'Netherlands', 'C': 'Belgium', 'D': 'Luxembourg'}, 'ground_truth': 'A'}",What is the capital city of the Kingdom of the Netherlands?,Which country does Sint Maarten belong to?,Who is the current monarch of the Kingdom of the Netherlands?,King Willem-Alexander,Who is the spouse of the current monarch of the Kingdom of the Netherlands?,Queen Máxima,What is the nationality of the spouse of the current monarch of the Kingdom of the Netherlands?,Argentine,In which city was the spouse of the current monarch of the Kingdom of the Netherlands born?,Buenos Aires,In which country is the city located where the spouse of the current monarch of the Kingdom of the Netherlands was born?,Argentina
places_country,wh,Kingdom of the Netherlands,located in the administrative territorial entity,Aruba,Which country's located in the administrative territorial entity is Kingdom of the Netherlands?,Aruba,Netherlands,0.0,Which country is located in the administrative territorial entity of the Kingdom of the Netherlands?,Is Aruba located in the administrative territorial entity of the Kingdom of the Netherlands?,Is the Netherlands located in the administrative territorial entity of the Kingdom of the Netherlands?,"{'question': 'Which country is located in the administrative territorial entity of the Kingdom of the Netherlands?', 'options': {'A': 'Aruba', 'B': 'Netherlands', 'C': 'Belgium', 'D': 'Luxembourg'}, 'ground_truth': 'A'}",What is the capital city of the Kingdom of the Netherlands?,Which administrative territorial entity is Aruba located in?,What is the capital city of the administrative territorial entity where the Kingdom of the Netherlands is located?,Amsterdam,Which river flows through the capital city of the administrative territorial entity where the Kingdom of the Netherlands is located?,Amstel River,What is the name of the dam that the river flowing through the capital city of the administrative territorial entity where the Kingdom of the Netherlands is located is named after?,Dam Square,Which famous palace is located at the dam that the river flowing through the capital city of the administrative territorial entity where the Kingdom of the Netherlands is located is named after?,Royal Palace of Amsterdam,Which historical figure commissioned the construction of the palace located at the dam that the river flowing through the capital city of the administrative territorial entity where the Kingdom of the Netherlands is located is named after?,Louis Bonaparte
places_country,wh,Guarani,official language,Bolivia,Which country's official language is Guarani?,Bolivia,Paraguay,0.0,In which country is Guarani an official language?,Is Guarani an official language in Bolivia?,Is Guarani an official language in Paraguay?,"{'question': ""Which country's official language is Guarani?"", 'options': {'A': 'Bolivia', 'B': 'Paraguay', 'C': 'Argentina', 'D': 'Chile'}, 'ground_truth': 'A'}",In which continent is Bolivia located?,What is the official language of Bolivia?,In which country is Guarani an official language?,Paraguay,What is the capital city of the country where Guarani is an official language?,Asunción,Which river flows through the capital city of the country where Guarani is an official language?,Paraguay River,What is the length of the river that flows through the capital city of the country where Guarani is an official language?,"2,621 kilometers",Into which larger river does the river that flows through the capital city of the country where Guarani is an official language eventually flow?,Paraná River
places_country,wh,Peru,country,Peru,What is the country of Peru?,Peru,South American,0.0,Which country is Peru?,"Is the country of Peru, Peru?","Is the country of Peru, South American?","{'question': 'What is the country of Peru?', 'options': {'A': 'Peru', 'B': 'South American', 'C': 'Brazil', 'D': 'Argentina'}, 'ground_truth': 'A'}",What is the capital city of Peru?,Which country is Peru?,What is the capital city of the country Peru?,Lima,What is the main airport in the capital city of the country Peru?,Jorge Chávez International Airport,Which airline has its hub at the main airport in the capital city of the country Peru?,LATAM Perú,Which continent is home to the country where the airline LATAM Perú has its hub?,South America,What is the largest country by area on the continent that is home to the country where the airline LATAM Perú has its hub?,Brazil
places_country,wh,Peru,country,Peru,Which country's country is Peru?,Peru,South America,0.0,Peru is the country of which nation?,Is Peru the country of Peru?,Is Peru the country of South America?,"{'question': ""Which country's country is Peru?"", 'options': {'A': 'Peru', 'B': 'South America', 'C': 'Brazil', 'D': 'Argentina'}, 'ground_truth': 'A'}",What is the capital city of Peru?,Which country is Peru?,What is the capital city of the country Peru?,Lima,What is the main international airport in the capital city of Peru?,Jorge Chávez International Airport,Which airline has its main hub at the main international airport in the capital city of Peru?,LATAM Perú,Which country is the airline based in that has its main hub at the main international airport in the capital city of Peru?,Peru,What is the official language of the country where the airline is based that has its main hub at the main international airport in the capital city of Peru?,Spanish
places_country,wh,North Africa,located in/on physical feature,Libya,Which country's located in/on physical feature is North Africa?,Libya,Egypt,0.0,Which country is situated in North Africa?,Is Libya located in North Africa?,Is Egypt located in North Africa?,"{'question': 'Which country is located in North Africa?', 'options': {'A': 'Libya', 'B': 'Egypt', 'C': 'Kenya', 'D': 'Nigeria'}, 'ground_truth': 'A'}",What is the predominant climate in North Africa?,In which region is Libya located?,Which desert is located in North Africa?,Sahara Desert,Which country has the largest portion of the Sahara Desert located in North Africa?,Algeria,What is the capital city of the country that has the largest portion of the Sahara Desert located in North Africa?,Algiers,Which sea is closest to the capital city of the country that has the largest portion of the Sahara Desert located in North Africa?,Mediterranean Sea,Which major strait connects the sea closest to the capital city of the country that has the largest portion of the Sahara Desert located in North Africa to the Atlantic Ocean?,Strait of Gibraltar
places_country,wh,Gummersbach,twinned administrative body,Lesotho,Which country's twinned administrative body is Gummersbach?,Lesotho,Bulgaria,0.0,What country has a twinned administrative body with Gummersbach?,Is Lesotho the country that has a twinned administrative body with Gummersbach?,Is Bulgaria the country that has a twinned administrative body with Gummersbach?,"{'question': ""Which country's twinned administrative body is Gummersbach?"", 'options': {'A': 'Lesotho', 'B': 'Bulgaria', 'C': 'Canada', 'D': 'Japan'}, 'ground_truth': 'A'}",In which country is the city of Gummersbach located?,Which city is twinned with Lesotho?,What is the capital city of the country where the twinned administrative body of Gummersbach is located?,Paris,Which river flows through the capital city of the country where the twinned administrative body of Gummersbach is located?,Seine,What is the name of the famous cathedral located on the river that flows through the capital city of the country where the twinned administrative body of Gummersbach is located?,Notre-Dame Cathedral,In which year did the construction of the famous cathedral located on the river that flows through the capital city of the country where the twinned administrative body of Gummersbach is located begin?,1163,Who was the bishop that laid the cornerstone for the famous cathedral located on the river that flows through the capital city of the country where the twinned administrative body of Gummersbach is located?,Maurice de Sully
places_country,wh,Wakayama Prefecture,twinned administrative body,Galicia,Which country's twinned administrative body is Wakayama Prefecture?,Galicia,Sachsen-Anhalt,0.0,What is the twinned administrative body of Wakayama Prefecture?,Is Galicia the twinned administrative body of Wakayama Prefecture?,Is Sachsen-Anhalt the twinned administrative body of Wakayama Prefecture?,"{'question': 'Which of the following is the twinned administrative body of Wakayama Prefecture?', 'options': {'A': 'Galicia', 'B': 'Sachsen-Anhalt', 'C': 'Bavaria', 'D': 'Catalonia'}, 'ground_truth': 'A'}",What is a famous tourist attraction in Wakayama Prefecture?,Which prefecture is twinned with Galicia?,What is the capital city of the twinned administrative body of Wakayama Prefecture?,Jinan,Which country is the capital city of the twinned administrative body of Wakayama Prefecture located in?,China,What is the official language of the country where the capital city of the twinned administrative body of Wakayama Prefecture is located?,Mandarin Chinese,What is the population of the country where the official language is Mandarin Chinese and the capital city of the twinned administrative body of Wakayama Prefecture is located?,Approximately 1.4 billion,What is the name of the largest city in the country with a population of approximately 1.4 billion where the capital city of the twinned administrative body of Wakayama Prefecture is located?,Shanghai
places_country,wh,South Africa,named after,south,What was South Africa named after?,south,Cape of Good Hope,0.0,What is the origin of the name South Africa?,Was South Africa named after the south?,Was South Africa named after the Cape of Good Hope?,"{'question': 'What was South Africa named after?', 'options': {'A': 'Cape of Good Hope', 'B': 'south', 'C': 'Nelson Mandela', 'D': 'Table Mountain'}, 'ground_truth': 'B'}",What is the capital city of South Africa?,Which country was named after the south?,Who was South Africa named after?,The geographic location in the southern part of Africa,What is the capital city of the country that South Africa was named after?,"Pretoria (administrative), Bloemfontein (judicial), Cape Town (legislative)",Which famous landmark is located in the capital city of the country that South Africa was named after?,Table Mountain,What is the height of the famous landmark located in the capital city of the country that South Africa was named after?,"1,085 meters (3,558 feet)",Which national park is home to the famous landmark that is located in the capital city of the country that South Africa was named after?,Table Mountain National Park
places_country,wh,South Africa,country,South Africa,What is the country of South Africa?,South Africa,Nation,0.0,Which country is South Africa?,Is South Africa the country of South Africa?,Is Nation the country of South Africa?,"{'question': 'What is the country of South Africa?', 'options': {'A': 'South Africa', 'B': 'Nation', 'C': 'Australia', 'D': 'Brazil'}, 'ground_truth': 'A'}",What is the capital city of South Africa?,Which country is South Africa?,What is the capital city of the country South Africa?,Pretoria,Which university is located in the capital city of South Africa?,University of Pretoria,What is the name of the notable research institute affiliated with the University of Pretoria?,Gordon Institute of Business Science,Who is a notable alumnus of the Gordon Institute of Business Science?,Adrian Gore,What company was founded by the notable alumnus of the Gordon Institute of Business Science?,Discovery Limited
places_country,wh,Colombia,country,Colombia,What is the country of Colombia?,Colombia,South American,0.0,Which country is Colombia?,"Is the country of Colombia, Colombia?","Is the country of Colombia, South American?","{'question': 'What is the country of Colombia?', 'options': {'A': 'Colombia', 'B': 'South American', 'C': 'Brazil', 'D': 'Argentina'}, 'ground_truth': 'A'}",What is the capital city of Colombia?,Which country is named after Colombia?,What is the capital city of the country Colombia?,Bogotá,What is the main international airport in the capital city of Colombia?,El Dorado International Airport,Which airline has its main hub at the main international airport in the capital city of Colombia?,Avianca,Who is the founder of the airline that has its main hub at the main international airport in the capital city of Colombia?,SCADTA (Sociedad Colombo Alemana de Transporte Aéreo),In which year was the airline founded that has its main hub at the main international airport in the capital city of Colombia?,1919
places_country,wh,Colombia,head of government,Iván Duque,Who is the head of government of Colombia?,Iván Duque,Gustavo Petro,0.0,Who serves as the head of government in Colombia?,Is Iván Duque the head of government of Colombia?,Is Gustavo Petro the head of government of Colombia?,"{'question': 'Who is the head of government of Colombia?', 'options': {'A': 'Iván Duque', 'B': 'Gustavo Petro', 'C': 'Juan Manuel Santos', 'D': 'Álvaro Uribe'}, 'ground_truth': 'A'}",What is the capital city of Colombia?,Which country has Iván Duque as its head of government?,Who is the spouse of the head of government of Colombia?,María Juliana Ruiz,Which university did the spouse of the head of government of Colombia attend?,Pontifical Xavierian University,In which city is the university located that the spouse of the head of government of Colombia attended?,Bogotá,What is the population of the city where the university that the spouse of the head of government of Colombia attended is located?,Approximately 7.4 million,What is the official language spoken in the city where the university that the spouse of the head of government of Colombia attended is located?,Spanish
places_country,wh,Colombia,country,Colombia,Which country's country is Colombia?,Colombia,Venezuela,0.0,What is the name of the country that is Colombia?,Is Colombia the country of Colombia?,Is Venezuela the country of Colombia?,"{'question': ""Which country's country is Colombia?"", 'options': {'A': 'Colombia', 'B': 'Venezuela', 'C': 'Brazil', 'D': 'Argentina'}, 'ground_truth': 'A'}",What is the capital city of Colombia?,Which country is Colombia a country of?,What is the capital city of the country Colombia?,Bogotá,What is the main international airport in the capital city of Colombia?,El Dorado International Airport,Which airline has its main hub at the main international airport in the capital city of Colombia?,Avianca,Who is the founder of the airline that has its main hub at the main international airport in the capital city of Colombia?,SCADTA (Sociedad Colombo Alemana de Transporte Aéreo),In which year was the airline founded that has its main hub at the main international airport in the capital city of Colombia?,1919
places_country,wh,Saint Patrick's Day,public holiday,United Kingdom,Which country's public holiday is Saint Patrick's Day?,United Kingdom,Ireland,0.0,In which country is Saint Patrick's Day considered a public holiday?,Is Saint Patrick's Day a public holiday in the United Kingdom?,Is Saint Patrick's Day a public holiday in Ireland?,"{'question': ""Which country's public holiday is Saint Patrick's Day?"", 'options': {'A': 'United Kingdom', 'B': 'Ireland', 'C': 'Canada', 'D': 'Australia'}, 'ground_truth': 'A'}",In which country is Saint Patrick's Day celebrated with parades and wearing green?,Which public holiday is celebrated in the United Kingdom?,In which country is Saint Patrick's Day a public holiday?,Ireland,What is the capital city of the country where Saint Patrick's Day is a public holiday?,Dublin,Which river flows through the capital city of the country where Saint Patrick's Day is a public holiday?,River Liffey,What is a famous bridge that crosses the river flowing through the capital city of the country where Saint Patrick's Day is a public holiday?,Ha'penny Bridge,In which year was the famous bridge that crosses the river flowing through the capital city of the country where Saint Patrick's Day is a public holiday built?,1816
places_country,wh,Tanzania,country,Tanzania,What is the country of Tanzania?,Tanzania,East African,0.0,Which country is Tanzania?,Is Tanzania the country of Tanzania?,Is East African the country of Tanzania?,"{'question': 'What is the country of Tanzania?', 'options': {'A': 'Tanzania', 'B': 'East African', 'C': 'Kenya', 'D': 'Uganda'}, 'ground_truth': 'A'}",What is the capital city of Tanzania?,Which country is Tanzania?,What is the capital city of the country Tanzania?,Dodoma,Which major river flows through the capital city of Tanzania?,Wami River,Into which body of water does the major river that flows through the capital city of Tanzania empty?,Indian Ocean,Which ocean borders the country where the major river that flows through the capital city of Tanzania empties?,Indian Ocean,Which continent is the country located on that is bordered by the ocean where the major river flowing through the capital city of Tanzania empties?,Africa
places_country,wh,Tanzania,named after,Zanzibar,What was Tanzania named after?,Zanzibar,Tanganyika,0.0,Which place was Tanzania named after?,Was Tanzania named after Zanzibar?,Was Tanzania named after Tanganyika?,"{'question': 'What was Tanzania named after?', 'options': {'A': 'Zanzibar', 'B': 'Tanganyika', 'C': 'Kenya', 'D': 'Uganda'}, 'ground_truth': 'A'}",What is the capital city of Tanzania?,Which country was named after Zanzibar?,Who was Tanzania named after?,Tanganyika and Zanzibar,What was the capital of the country that Tanzania was named after?,Dar es Salaam,Which ocean is the capital of the country that Tanzania was named after located on?,Indian Ocean,Which major island is located in the ocean where the capital of the country that Tanzania was named after is situated?,Madagascar,What is the official language of the major island located in the ocean where the capital of the country that Tanzania was named after is situated?,Malagasy
places_country,wh,Tanzania,country,Tanzania,Which country's country is Tanzania?,Tanzania,Kenya,0.0,Tanzania is the country of which nation?,Is Tanzania the country of Tanzania?,Is Tanzania the country of Kenya?,"{'question': ""Which country's country is Tanzania?"", 'options': {'A': 'Kenya', 'B': 'Uganda', 'C': 'Tanzania', 'D': 'Rwanda'}, 'ground_truth': 'C'}",What is the capital city of Tanzania?,Which country is Tanzania the country of?,What is the capital city of the country Tanzania?,Dodoma,Which major river flows through the capital city of Tanzania?,Wami River,Into which body of water does the major river that flows through the capital city of Tanzania empty?,Indian Ocean,Which ocean borders the country where the major river that flows through the capital city of Tanzania empties?,Indian Ocean,Which continent is the country located on that is bordered by the ocean where the major river flowing through the capital city of Tanzania empties?,Africa
places_country,wh,Grenada,country,Grenada,What is the country of Grenada?,Grenada,Island nation,0.0,Which country does Grenada belong to?,Is Grenada the country of Grenada?,Is Grenada the country of Island nation?,"{'question': 'What is the country of Grenada?', 'options': {'A': 'Grenada', 'B': 'Island nation', 'C': 'Barbados', 'D': 'Trinidad and Tobago'}, 'ground_truth': 'A'}",What is the capital city of Grenada?,Which country is named after Grenada?,What is the capital of the country Grenada?,St. George's,Which island is the capital of Grenada located on?,Grenada Island,What is the population of the island where the capital of Grenada is located?,"Approximately 110,000",What is the main language spoken by the population of the island where the capital of Grenada is located?,English,What is the official language of the country where the main language spoken on the island with the capital St. George's is English?,English
places_country,wh,Grenada,country,Grenada,Which country's country is Grenada?,Grenada,Caribbean,0.0,What is the name of the country that is Grenada?,Is Grenada the country of Grenada?,Is Caribbean the country of Grenada?,"{'question': ""Which country's country is Grenada?"", 'options': {'A': 'Grenada', 'B': 'Caribbean', 'C': 'Jamaica', 'D': 'Barbados'}, 'ground_truth': 'A'}",What is the capital city of Grenada?,Which country is Grenada?,What is the capital of the country Grenada?,St. George's,Which parish is the capital of Grenada located in?,Saint George Parish,What is the population of the parish where the capital of Grenada is located?,"Approximately 38,000",What is the name of the main hospital in the parish where the capital of Grenada is located?,General Hospital,Which organization accredits the main hospital in the parish where the capital of Grenada is located?,Caribbean Accreditation Authority for Education in Medicine and other Health Professions (CAAM-HP)
places_country,wh,Serbian,official language,Kosovo,Which country's official language is Serbian?,Kosovo,Serbia,0.0,In which country is Serbian an official language?,Is Kosovo a country where Serbian is an official language?,Is Serbia a country where Serbian is an official language?,"{'question': ""Which country's official language is Serbian?"", 'options': {'A': 'Kosovo', 'B': 'Serbia', 'C': 'Croatia', 'D': 'Montenegro'}, 'ground_truth': 'A'}",What is the capital city of Serbia?,What is the official language of Kosovo?,What is the capital city of the country where Serbian is an official language?,Belgrade,Which river flows through the capital city of the country where Serbian is an official language?,Danube,What is the name of the country through which the river flows that passes through the capital city of the country where Serbian is an official language?,Germany,What is the capital city of the country through which the river flows that passes through the capital city of the country where Serbian is an official language?,Berlin,What is the population of the capital city of the country through which the river flows that passes through the capital city of the country where Serbian is an official language?,Approximately 3.6 million
places_country,wh,Sea of Okhotsk,located in or next to body of water,Japan,Which country's located in or next to body of water is Sea of Okhotsk?,Japan,Russia,0.0,Which country is adjacent to the Sea of Okhotsk?,Is Japan located in or next to the Sea of Okhotsk?,Is Russia located in or next to the Sea of Okhotsk?,"{'question': 'Which country is located in or next to the Sea of Okhotsk?', 'options': {'A': 'Japan', 'B': 'Russia', 'C': 'China', 'D': 'South Korea'}, 'ground_truth': 'A'}",What is the capital city of Japan?,Which body of water is Japan located in or next to?,Which country has a coastline along the Sea of Okhotsk?,Russia,What is the capital city of the country that has a coastline along the Sea of Okhotsk?,Moscow,Which river flows through the capital city of the country that has a coastline along the Sea of Okhotsk?,Moskva River,What is the length of the river that flows through the capital city of the country that has a coastline along the Sea of Okhotsk?,502 kilometers,Into which body of water does the river that flows through the capital city of the country with a coastline along the Sea of Okhotsk eventually drain?,Oka River
places_country,wh,Olea europaea,official symbol,Israel,Which country's official symbol is Olea europaea?,Israel,Slovenia,0.0,Olea europaea is the official symbol of which country?,Is Olea europaea the official symbol of Israel?,Is Olea europaea the official symbol of Slovenia?,"{'question': ""Which country's official symbol is Olea europaea?"", 'options': {'A': 'Israel', 'B': 'Slovenia', 'C': 'Greece', 'D': 'Italy'}, 'ground_truth': 'A'}",In which region is Olea europaea commonly cultivated?,What is the official symbol of Israel?,Which country has Olea europaea as an official symbol?,Greece,What is the capital city of the country that has Olea europaea as an official symbol?,Athens,Which famous ancient landmark is located in the capital city of the country that has Olea europaea as an official symbol?,The Parthenon,Who was the main deity worshipped at the famous ancient landmark located in the capital city of the country that has Olea europaea as an official symbol?,Athena,What is the name of the festival held in honor of the main deity worshipped at the famous ancient landmark located in the capital city of the country that has Olea europaea as an official symbol?,Panathenaic Games
places_country,wh,Palau,official language,Japanese,What is the official language of Palau?,Japanese,Palauan,0.0,Which language is officially recognized in Palau?,Is Japanese the official language of Palau?,Is Palauan the official language of Palau?,"{'question': 'What is the official language of Palau?', 'options': {'A': 'Japanese', 'B': 'Palauan', 'C': 'English', 'D': 'Spanish'}, 'ground_truth': 'A'}",What is the capital city of Palau?,Which country has Japanese as its official language?,What is the official language of Palau?,Palauan,What is the primary language spoken in the country where Palauan is an official language?,Palauan,What is the name of the script used to write the primary language spoken in the country where Palauan is an official language?,Latin script,Which continent is home to the country where the primary language is written in Latin script and is Palauan?,Oceania,Which ocean surrounds the continent that is home to the country where the primary language is Palauan?,Pacific Ocean
places_country,wh,Palau,located in/on physical feature,Micronesia,What is the located in/on physical feature of Palau?,Micronesia,Rock Islands,0.0,Where is Palau located?,Is Palau located in Micronesia?,Is Palau located in the Rock Islands?,"{'question': 'Where is Palau located?', 'options': {'A': 'Micronesia', 'B': 'Rock Islands', 'C': 'Polynesia', 'D': 'Melanesia'}, 'ground_truth': 'A'}",What is the capital city of Palau?,Which country is located in Micronesia?,What is the name of the ocean where Palau is located?,Pacific Ocean,Which major current flows through the ocean where Palau is located?,North Equatorial Current,Which sea is influenced by the major current that flows through the ocean where Palau is located?,Philippine Sea,Which archipelago is situated in the sea influenced by the major current that flows through the ocean where Palau is located?,Philippine Archipelago,Which country has sovereignty over the archipelago situated in the sea influenced by the major current that flows through the ocean where Palau is located?,Philippines
places_country,wh,Palau,country,Palau,What is the country of Palau?,Palau,Micronesia,0.0,Which country does Palau belong to?,Is Palau the country of Palau?,Is Micronesia the country of Palau?,"{'question': 'What is the country of Palau?', 'options': {'A': 'Palau', 'B': 'Micronesia', 'C': 'Fiji', 'D': 'Samoa'}, 'ground_truth': 'A'}",What is the capital city of Palau?,Which country is Palau?,What is the capital of the country Palau?,Ngerulmud,"Which state is the capital of Palau, Ngerulmud, located in?",Melekeok,What is the population of the state where the capital of Palau is located?,391,What is the official language spoken in the state with a population of 391 where the capital of Palau is located?,Palauan,What is the currency used in the country where the official language is Palauan?,United States Dollar (USD)
places_country,wh,Palau,country,Palau,Which country's country is Palau?,Palau,Micronesia,0.0,What is the name of the country that is Palau?,Is Palau the country of Palau?,Is Micronesia the country of Palau?,"{'question': ""Which country's country is Palau?"", 'options': {'A': 'Palau', 'B': 'Micronesia', 'C': 'Fiji', 'D': 'Marshall Islands'}, 'ground_truth': 'A'}",What is the capital city of Palau?,Which country is Palau a country of?,What is the capital of the country Palau?,Ngerulmud,Which state is the capital of Palau located in?,Melekeok,What is the population of the state where the capital of Palau is located?,391 (as of 2020),What is the primary language spoken in the state where the capital of Palau is located?,Palauan,What is the currency used in the country where the primary language spoken in the state of the capital of Palau is Palauan?,United States Dollar (USD)
places_country,wh,Parliamentary Assembly of the Council of Europe,designated as terrorist by,Russia,Which country was designated as terrorist by Parliamentary Assembly of the Council of Europe?,Russia,Turkey,0.0,Which nation has the Parliamentary Assembly of the Council of Europe labeled as a terrorist?,Was Russia designated as terrorist by the Parliamentary Assembly of the Council of Europe?,Was Turkey designated as terrorist by the Parliamentary Assembly of the Council of Europe?,"{'question': 'Which country was designated as terrorist by the Parliamentary Assembly of the Council of Europe?', 'options': {'A': 'Russia', 'B': 'Turkey', 'C': 'Germany', 'D': 'France'}, 'ground_truth': 'A'}",Where is the headquarters of the Parliamentary Assembly of the Council of Europe located?,Which organization designated Russia as a terrorist?,Which organization designated the Parliamentary Assembly of the Council of Europe as a terrorist organization?,No organization has designated the Parliamentary Assembly of the Council of Europe as a terrorist organization.,What is the primary function of the organization that designated the Parliamentary Assembly of the Council of Europe as a terrorist organization?,"Not applicable, as no organization has designated the Parliamentary Assembly of the Council of Europe as a terrorist organization.",Which country is the headquarters of the organization that designated the Parliamentary Assembly of the Council of Europe as a terrorist organization located in?,"Not applicable, as no organization has designated the Parliamentary Assembly of the Council of Europe as a terrorist organization.",Who is the current leader of the country where the headquarters of the organization that designated the Parliamentary Assembly of the Council of Europe as a terrorist organization is located?,"Not applicable, as no organization has designated the Parliamentary Assembly of the Council of Europe as a terrorist organization.",What is the official language of the country where the headquarters of the organization that designated the Parliamentary Assembly of the Council of Europe as a terrorist organization is located?,"Not applicable, as no organization has designated the Parliamentary Assembly of the Council of Europe as a terrorist organization."
places_country,wh,Saint Lucy,named after,Saint Lucia,Which country was named after Saint Lucy?,Saint Lucia,Sicily,0.0,What country takes its name from Saint Lucy?,Was Saint Lucia named after Saint Lucy?,Was Sicily named after Saint Lucy?,"{'question': 'Which country was named after Saint Lucy?', 'options': {'A': 'Saint Lucia', 'B': 'Sicily', 'C': 'Barbados', 'D': 'Jamaica'}, 'ground_truth': 'A'}","In which country is the Pitons, a famous landmark, located?",Who is Saint Lucia named after?,Who is the patron saint that Saint Lucy is named after?,Saint Lucia of Syracuse,Which city is associated with the patron saint that Saint Lucy is named after?,Syracuse,In which country is the city located that is associated with the patron saint that Saint Lucy is named after?,Italy,What is the region in Italy where the city associated with the patron saint that Saint Lucy is named after is located?,Sicily,What is the capital of the region in Italy where the city associated with the patron saint that Saint Lucy is named after is located?,Palermo
places_country,wh,Malawi,located in/on physical feature,Southern Africa,What is the located in/on physical feature of Malawi?,Southern Africa,Lake,0.0,Where is Malawi situated geographically?,Is Malawi located in Southern Africa?,Is Malawi located in Lake?,"{'question': 'In which region is Malawi located?', 'options': {'A': 'Southern Africa', 'B': 'Lake', 'C': 'Northern Europe', 'D': 'Eastern Asia'}, 'ground_truth': 'A'}",What is the capital city of Malawi?,Which country is located in Southern Africa?,What is the largest lake located in Malawi?,Lake Malawi,Which river flows out of the largest lake located in Malawi?,Shire River,"Into which river does the Shire River, which flows out of the largest lake in Malawi, eventually flow?",Zambezi River,"In which country does the Zambezi River, which receives water from the Shire River flowing out of the largest lake in Malawi, empty into the Indian Ocean?",Mozambique,"What is the name of the delta where the Zambezi River, which receives water from the Shire River flowing out of the largest lake in Malawi, empties into the Indian Ocean?",Zambezi Delta
places_country,wh,Malawi,named after,Lake Malawi,What was Malawi named after?,Lake Malawi,Maravi people,0.0,What is the origin of Malawi's name?,Was Malawi named after Lake Malawi?,Was Malawi named after the Maravi people?,"{'question': 'What was Malawi named after?', 'options': {'A': 'Lake Malawi', 'B': 'Maravi people', 'C': 'Zambezi River', 'D': 'Victoria Falls'}, 'ground_truth': 'A'}",What is the capital city of Malawi?,Which country was named after Lake Malawi?,Who was Malawi named after?,Maravi people,What language is primarily spoken by the people Malawi was named after?,Chichewa,Which country primarily speaks the language spoken by the people Malawi was named after?,Malawi,What is the capital city of the country that primarily speaks the language spoken by the people Malawi was named after?,Lilongwe,Which river flows through the capital city of the country that primarily speaks the language spoken by the people Malawi was named after?,Lilongwe River
places_country,wh,Malawi,country,Malawi,What is the country of Malawi?,Malawi,Landlocked,0.0,Which country is Malawi?,Is Malawi the country of Malawi?,Is Landlocked the country of Malawi?,"{'question': 'What is the country of Malawi?', 'options': {'A': 'Malawi', 'B': 'Landlocked', 'C': 'Zambia', 'D': 'Mozambique'}, 'ground_truth': 'A'}",What is the capital city of Malawi?,Which country is Malawi a part of?,What is the capital city of the country Malawi?,Lilongwe,Which river flows through the capital city of the country Malawi?,Lilongwe River,Into which lake does the river that flows through the capital city of Malawi eventually drain?,Lake Malawi,Which country borders the lake into which the river that flows through the capital city of Malawi drains?,Tanzania,What is the official language of the country that borders the lake into which the river that flows through the capital city of Malawi drains?,Swahili
places_country,wh,Malawi,country,Malawi,Which country's country is Malawi?,Malawi,Tanzania,0.0,Malawi is the country of which nation?,Is Malawi the country of Malawi?,Is Malawi the country of Tanzania?,"{'question': ""Which country's country is Malawi?"", 'options': {'A': 'Malawi', 'B': 'Tanzania', 'C': 'Zambia', 'D': 'Mozambique'}, 'ground_truth': 'A'}",What is the capital city of Malawi?,Malawi is the country of which country?,What is the capital city of the country Malawi?,Lilongwe,Which river flows through the capital city of the country Malawi?,Lilongwe River,What is the name of the lake that the river flowing through the capital city of Malawi eventually drains into?,Lake Malawi,Which national park is located near the lake that the river flowing through the capital city of Malawi drains into?,Lake Malawi National Park,In which district is the national park located that is near the lake into which the river flowing through the capital city of Malawi drains?,Mangochi District
places_country,wh,Comoros,country,Comoros,What is the country of Comoros?,Comoros,Island nation,0.0,Which country does Comoros belong to?,Is Comoros the country of Comoros?,Is Island nation the country of Comoros?,"{'question': 'What is the country of Comoros?', 'options': {'A': 'Comoros', 'B': 'Island nation', 'C': 'Madagascar', 'D': 'Seychelles'}, 'ground_truth': 'A'}",What is the capital city of Comoros?,Which country is Comoros?,What is the capital city of the country Comoros?,Moroni,Which island is the capital city of Comoros located on?,Grande Comore,What is the highest point on the island where the capital city of Comoros is located?,Mount Karthala,What type of geological feature is the highest point on the island where the capital city of Comoros is located?,Volcano,What is the name of the ocean that surrounds the island where the highest point of Comoros is located?,Indian Ocean
