topic,type,subject,relation,object,question,label,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct,paraphrased_question,yes_question,no_question,multiple_choice_question,reversed_relation_question,locality_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
places_city,wh,Shahr-e Kord,twinned administrative body,Dushanbe,Which city's twinned administrative body is Shahr-e Kord?,Dushanbe,Tabriz,0.0,What city is twinned with Shahr-e Kord?,Is Dushanbe the twinned administrative body of Shahr-e Kord?,Is Tabriz the twinned administrative body of Shahr-e Kord?,"{'question': 'Which city is twinned with Shahr-e Kord?', 'options': {'A': 'Dushanbe', 'B': 'Tabriz', 'C': 'Tehran', 'D': 'Mashhad'}, 'ground_truth': 'A'}",Which city is Dushanbe twinned with?,What is the capital of the province where Shahr-e Kord is located?,What is the capital city of the country that has a twinned administrative body with Shahr-e Kord?,Baghdad,What is the official language spoken in the capital city of the country that has a twinned administrative body with Shahr-e Kord?,Arabic,What is the predominant religion in the country where the official language is Arabic and has a twinned administrative body with Shahr-e Kord?,Islam,What is the name of the holy book of the predominant religion in the country that has a twinned administrative body with Shahr-e Kord?,Quran,In which century was the holy book of the predominant religion in the country that has a twinned administrative body with Shahr-e Kord revealed?,7th century
places_city,wh,North Brabant,located in the administrative territorial entity,Helmond,Which city's located in the administrative territorial entity is North Brabant?,Helmond,Eindhoven,0.0,What city is situated within the administrative territorial entity of North Brabant?,Is Helmond located in the administrative territorial entity of North Brabant?,Is Eindhoven located in the administrative territorial entity of North Brabant?,"{'question': 'Which city is located in the administrative territorial entity of North Brabant?', 'options': {'A': 'Helmond', 'B': 'Eindhoven', 'C': 'Tilburg', 'D': 'Breda'}, 'ground_truth': 'A'}",In which administrative territorial entity is Helmond located?,What is the capital city of North Brabant?,What is the capital city of the administrative territorial entity where North Brabant is located?,'s-Hertogenbosch,Which river flows through the capital city of the administrative territorial entity where North Brabant is located?,Dommel,What is the length of the river that flows through the capital city of the administrative territorial entity where North Brabant is located?,120 kilometers,Which country is home to the river that flows through the capital city of the administrative territorial entity where North Brabant is located?,Netherlands,What is the official language of the country that is home to the river flowing through the capital city of the administrative territorial entity where North Brabant is located?,Dutch
places_city,wh,Ganzhou,twinned administrative body,Freetown,Which city's twinned administrative body is Ganzhou?,Freetown,Wenzhou,0.0,What city is twinned with Ganzhou?,Is Freetown the twinned administrative body of Ganzhou?,Is Wenzhou the twinned administrative body of Ganzhou?,"{'question': 'Which city is twinned with Ganzhou?', 'options': {'A': 'Freetown', 'B': 'Wenzhou', 'C': 'Beijing', 'D': 'Shanghai'}, 'ground_truth': 'A'}",Which city's twinned administrative body is Freetown?,In which province is Ganzhou located?,What is the population of the city that is twinned with Ganzhou?,Approximately 1.5 million,What is the primary language spoken in the city that is twinned with Ganzhou?,Mandarin Chinese,What is the most popular tourist attraction in the city where the primary language is Mandarin Chinese and is twinned with Ganzhou?,The Great Wall of China,Which dynasty was responsible for the construction of the most popular tourist attraction in the city twinned with Ganzhou?,Ming Dynasty,Who was the emperor during the Ming Dynasty when the most popular tourist attraction in the city twinned with Ganzhou was constructed?,Emperor Yongle
places_city,wh,Jining,twinned administrative body,Jyväskylä,Which city's twinned administrative body is Jining?,Jyväskylä,Kazan,0.0,What city is twinned with Jining?,Is Jyväskylä the twinned administrative body of Jining?,Is Kazan the twinned administrative body of Jining?,"{'question': 'Which city is twinned with Jining?', 'options': {'A': 'Jyväskylä', 'B': 'Kazan', 'C': 'Helsinki', 'D': 'Tampere'}, 'ground_truth': 'A'}",Which city's twinned administrative body is Jyväskylä?,In which country is Jining located?,What is the population of the city that is twinned with Jining?,Approximately 1.5 million,What is the primary language spoken in the city that is twinned with Jining?,English,What is the most popular tourist attraction in the city where the primary language is English and is twinned with Jining?,The Royal Botanic Gardens,In which year was the most popular tourist attraction in the city twinned with Jining established?,1846,Who was the founder of the most popular tourist attraction in the city twinned with Jining?,Sir Joseph Banks
places_city,wh,Veles,twinned administrative body,Niš,Which city's twinned administrative body is Veles?,Niš,Kumanovo,0.0,What city is twinned with Veles as an administrative body?,Is Niš the city that has a twinned administrative body with Veles?,Is Kumanovo the city that has a twinned administrative body with Veles?,"{'question': 'Which city is twinned with Veles as an administrative body?', 'options': {'A': 'Niš', 'B': 'Kumanovo', 'C': 'Skopje', 'D': 'Bitola'}, 'ground_truth': 'A'}",Which city has Veles as its twinned administrative body?,In which country is Veles located?,What is the capital city of the country where a twinned administrative body of Veles is located?,Prague,Which river flows through the capital city of the country where a twinned administrative body of Veles is located?,Vltava,What is the length of the river that flows through the capital city of the country where a twinned administrative body of Veles is located?,430 kilometers,Which sea does the river that flows through the capital city of the country where a twinned administrative body of Veles is located ultimately drain into?,North Sea,Which country borders the sea into which the river that flows through the capital city of the country where a twinned administrative body of Veles is located drains?,United Kingdom
places_city,wh,Dundee,country,United Kingdom,What is the country of Dundee?,United Kingdom,Scotland,0.0,Which country is Dundee located in?,Is the country of Dundee the United Kingdom?,Is the country of Dundee Scotland?,"{'question': 'What country is Dundee in?', 'options': {'A': 'United Kingdom', 'B': 'Scotland', 'C': 'Ireland', 'D': 'Wales'}, 'ground_truth': 'A'}",Which city in the United Kingdom is Dundee?,What river flows through Dundee?,What is the official language of the country where Dundee is located?,English,What is the capital city of the country where the official language is English and Dundee is located?,London,Which river flows through the capital city of the country where Dundee is located?,River Thames,What is the length of the river that flows through the capital city of the country where Dundee is located?,215 miles,In which sea does the river that flows through the capital city of the country where Dundee is located empty?,North Sea
places_city,wh,Great Neck,twinned administrative body,Tiberias,Which city's twinned administrative body is Great Neck?,Tiberias,Peking,0.0,What city is twinned with Great Neck?,Is Tiberias the twinned administrative body of Great Neck?,Is Peking the twinned administrative body of Great Neck?,"{'question': ""Which city's twinned administrative body is Great Neck?"", 'options': {'A': 'Tiberias', 'B': 'Peking', 'C': 'Paris', 'D': 'Tokyo'}, 'ground_truth': 'A'}",Which city is twinned with Tiberias?,In which state is Great Neck located?,What is the capital city of the country where the twinned administrative body of Great Neck is located?,Jerusalem,What is the official language spoken in the capital city of the country where the twinned administrative body of Great Neck is located?,Hebrew,What is the population of the country where the official language is Hebrew and the twinned administrative body of Great Neck is located?,Approximately 9 million,What is the currency used in the country with a population of approximately 9 million where the twinned administrative body of Great Neck is located?,Israeli Shekel,What is the name of the central bank that issues the currency used in the country where the twinned administrative body of Great Neck is located?,Bank of Israel
places_city,wh,Zhejiang,located in the administrative territorial entity,Ningbo,Which city's located in the administrative territorial entity is Zhejiang?,Ningbo,Hangzhou,0.0,In which administrative territorial entity is Zhejiang located?,Is Zhejiang located in the administrative territorial entity of Ningbo?,Is Zhejiang located in the administrative territorial entity of Hangzhou?,"{'question': ""Which city's located in the administrative territorial entity is Zhejiang?"", 'options': {'A': 'Ningbo', 'B': 'Hangzhou', 'C': 'Shanghai', 'D': 'Suzhou'}, 'ground_truth': 'A'}",Which administrative territorial entity is Ningbo located in?,What is the capital city of Zhejiang?,What is the capital city of the administrative territorial entity where Zhejiang is located?,Hangzhou,Which famous lake is located in the capital city of the administrative territorial entity where Zhejiang is located?,West Lake,Which UNESCO World Heritage Site is located in the famous lake in the capital city of the administrative territorial entity where Zhejiang is located?,West Lake Cultural Landscape of Hangzhou,"Which dynasty's capital was Hangzhou, the capital city of the administrative territorial entity where Zhejiang is located?",Southern Song Dynasty,"Which emperor of the Southern Song Dynasty moved the capital to Hangzhou, the capital city of the administrative territorial entity where Zhejiang is located?",Emperor Gaozong
places_city,wh,Mühlhausen,twinned administrative body,Tourcoing,Which city's twinned administrative body is Mühlhausen?,Tourcoing,Mühlhausen is twinned with  Hildesheim,0.0,What city is twinned with Mühlhausen?,Is Mühlhausen twinned with Tourcoing?,Is Mühlhausen twinned with Hildesheim?,"{'question': 'Which city is twinned with Mühlhausen?', 'options': {'A': 'Tourcoing', 'B': 'Hildesheim', 'C': 'Lille', 'D': 'Roubaix'}, 'ground_truth': 'A'}",Which city's twinned administrative body is Tourcoing?,In which country is Mühlhausen located?,What is the capital city of the country where the twinned administrative body of Mühlhausen is located?,Paris,Which famous landmark is located in the capital city of the country where the twinned administrative body of Mühlhausen is located?,Eiffel Tower,Who designed the famous landmark located in the capital city of the country where the twinned administrative body of Mühlhausen is located?,Gustave Eiffel,In which year was the designer of the famous landmark in the capital city of the country where the twinned administrative body of Mühlhausen is located born?,1832,Which French city was the birthplace of the designer of the famous landmark in the capital city of the country where the twinned administrative body of Mühlhausen is located?,Dijon
places_city,wh,Bridgwater,twinned administrative body,Priverno,Which city's twinned administrative body is Bridgwater?,Priverno,Bielefeld,0.0,What city is twinned with Bridgwater?,Is Priverno the city twinned with Bridgwater?,Is Bielefeld the city twinned with Bridgwater?,"{'question': 'Which of the following cities is twinned with Bridgwater?', 'options': {'A': 'Priverno', 'B': 'Bielefeld', 'C': 'Florence', 'D': 'Naples'}, 'ground_truth': 'A'}",Which city is twinned with Priverno?,In which country is Bridgwater located?,What is the capital city of the country where Bridgwater's twinned administrative body is located?,Paris,Which river flows through the capital city of the country where Bridgwater's twinned administrative body is located?,Seine,What is the length of the river that flows through the capital city of the country where Bridgwater's twinned administrative body is located?,777 kilometers,Which sea does the river that flows through the capital city of the country where Bridgwater's twinned administrative body is located ultimately flow into?,English Channel,Which ocean is connected to the sea that the river flowing through the capital city of the country where Bridgwater's twinned administrative body is located ultimately flows into?,Atlantic Ocean
places_city,wh,Pescantina,twinned administrative body,Siedlce,Which city's twinned administrative body is Pescantina?,Siedlce,Verona,0.0,What city is twinned with Pescantina?,Is Siedlce the twinned administrative body of Pescantina?,Is Verona the twinned administrative body of Pescantina?,"{'question': 'Which city is twinned with Pescantina?', 'options': {'A': 'Siedlce', 'B': 'Verona', 'C': 'Warsaw', 'D': 'Krakow'}, 'ground_truth': 'A'}",Which city is twinned with Siedlce?,In which country is Pescantina located?,What is the name of a city that is twinned with Pescantina?,Bühl,In which country is the city located that is twinned with Pescantina?,Germany,What is the official language of the country where the city twinned with Pescantina is located?,German,What is the capital city of the country where the city twinned with Pescantina is located?,Berlin,What is the population of the capital city of the country where the city twinned with Pescantina is located?,Approximately 3.6 million
places_city,wh,Colombo,present in work,Civilization V,What is the present in work of Colombo?,Civilization V,Investigation,0.0,In which work is Colombo featured?,Is Colombo present in Civilization V?,Is Colombo present in Investigation?,"{'question': 'In which work is Colombo present?', 'options': {'A': 'Civilization V', 'B': 'Investigation', 'C': 'The Great War', 'D': 'Empire Earth'}, 'ground_truth': 'A'}",Which city is present in Civilization V?,What is the capital city of Sri Lanka?,Who is the author of the work in which Colombo is present?,Arthur Conan Doyle,What is the title of the work authored by Arthur Conan Doyle in which Colombo is present?,The Adventure of the Empty House,In which year was 'The Adventure of the Empty House' by Arthur Conan Doyle published?,1903,Which magazine first published 'The Adventure of the Empty House' in 1903?,The Strand Magazine,Who was the editor of The Strand Magazine when 'The Adventure of the Empty House' was first published?,Herbert Greenhough Smith
places_city,wh,St. Charles,twinned administrative body,Ludwigsburg,Which city's twinned administrative body is St. Charles?,Ludwigsburg,"St. Charles, Missouri",0.0,What city is twinned with St. Charles as an administrative body?,Is Ludwigsburg the city twinned with St. Charles?,"Is St. Charles, Missouri the city twinned with St. Charles?","{'question': 'Which city is twinned with St. Charles as an administrative body?', 'options': {'A': 'Ludwigsburg', 'B': 'St. Charles, Missouri', 'C': 'Heidelberg', 'D': 'Stuttgart'}, 'ground_truth': 'A'}",Which city is twinned with Ludwigsburg as an administrative body?,In which state is St. Charles located?,What is the capital city of the country where the twinned administrative body of St. Charles is located?,Paris,What is the primary language spoken in the capital city of the country where the twinned administrative body of St. Charles is located?,French,What is the population of the capital city where the primary language spoken is French and is the capital of the country where the twinned administrative body of St. Charles is located?,2.1 million,What is the name of the river that flows through the capital city with a population of 2.1 million where the primary language is French and is the capital of the country where the twinned administrative body of St. Charles is located?,Seine,What is the length of the river that flows through the capital city with a population of 2.1 million where the primary language is French and is the capital of the country where the twinned administrative body of St. Charles is located?,777 kilometers
places_city,wh,Castelló de la Plana,patron saint,Vincent of Saragossa,Who is the patron saint of Castelló de la Plana?,Vincent of Saragossa,San Jorge,0.0,Who serves as the patron saint for Castelló de la Plana?,Is Vincent of Saragossa the patron saint of Castelló de la Plana?,Is San Jorge the patron saint of Castelló de la Plana?,"{'question': 'Who is the patron saint of Castelló de la Plana?', 'options': {'A': 'Vincent of Saragossa', 'B': 'San Jorge', 'C': 'Saint Teresa', 'D': 'Saint Michael'}, 'ground_truth': 'A'}",Which city considers Vincent of Saragossa as its patron saint?,In which country is Castelló de la Plana located?,What is the feast day of the patron saint of Castelló de la Plana?,March 19,Which church is dedicated to the patron saint of Castelló de la Plana?,Basilica of St. Mary of the Lledó,In which city is the church dedicated to the patron saint of Castelló de la Plana located?,Castelló de la Plana,In which country is the city located that has a church dedicated to the patron saint of Castelló de la Plana?,Spain,On which continent is the country located that contains the city with a church dedicated to the patron saint of Castelló de la Plana?,Europe
places_city,wh,Darwin,named after,Charles Darwin,Who was Darwin named after?,Charles Darwin,Erasmus,0.0,Who is the namesake of Darwin?,Was Darwin named after Charles Darwin?,Was Darwin named after Erasmus?,"{'question': 'Who was Darwin named after?', 'options': {'A': 'Charles Darwin', 'B': 'Erasmus', 'C': 'Isaac Newton', 'D': 'Albert Einstein'}, 'ground_truth': 'A'}",Who is Charles Darwin the namesake of?,In which country is the city of Darwin located?,What is the name of the city that is named after Darwin?,"Darwin, Northern Territory",Which country is the city named after Darwin located in?,Australia,What is the capital city of the country where the city named after Darwin is located?,Canberra,Which major river flows through the capital city of the country where the city named after Darwin is located?,Molonglo River,What is the name of the lake formed by the major river that flows through the capital city of the country where the city named after Darwin is located?,Lake Burley Griffin
places_city,wh,Guilin,twinned administrative body,Toruń,Which city's twinned administrative body is Guilin?,Toruń,Nanning,0.0,What city is twinned with Guilin?,Is Toruń the twinned administrative body of Guilin?,Is Nanning the twinned administrative body of Guilin?,"{'question': 'Which city is twinned with Guilin?', 'options': {'A': 'Toruń', 'B': 'Nanning', 'C': 'Warsaw', 'D': 'Kraków'}, 'ground_truth': 'A'}",Which city's twinned administrative body is Toruń?,What is a famous natural landmark in Guilin?,What is the capital city of the country that has a twinned administrative body with Guilin?,Helsinki,Which sea is the capital city of the country that has a twinned administrative body with Guilin located near?,Baltic Sea,What is the largest island in the sea near the capital city of the country that has a twinned administrative body with Guilin?,Gotland,Which country does the largest island in the sea near the capital city of the country that has a twinned administrative body with Guilin belong to?,Sweden,What is the official language of the country that the largest island in the sea near the capital city of the country that has a twinned administrative body with Guilin belongs to?,Swedish
places_city,wh,Pontault-Combault,twinned administrative body,Abidjan,Which city's twinned administrative body is Pontault-Combault?,Abidjan,Saint-Denis,0.0,What city is twinned with Pontault-Combault?,Is Abidjan the city that is twinned with Pontault-Combault?,Is Saint-Denis the city that is twinned with Pontault-Combault?,"{'question': 'Which city is twinned with Pontault-Combault?', 'options': {'A': 'Abidjan', 'B': 'Saint-Denis', 'C': 'Lyon', 'D': 'Marseille'}, 'ground_truth': 'A'}",Which city's twinned administrative body is Abidjan?,In which country is Pontault-Combault located?,What is the population of the city that is twinned with Pontault-Combault?,"Approximately 20,000",What is the primary language spoken in the city that is twinned with Pontault-Combault?,German,What is the name of the country where the primary language spoken in the city twinned with Pontault-Combault is German?,Germany,What is the capital of the country where the city twinned with Pontault-Combault is located?,Berlin,What is the population of the capital city of the country where the city twinned with Pontault-Combault is located?,Approximately 3.6 million
places_city,wh,Nanning,twinned administrative body,Grudziądz,Which city's twinned administrative body is Nanning?,Grudziądz,Guangxi,0.0,What city is twinned with Nanning?,Is Grudziądz the twinned administrative body of Nanning?,Is Guangxi the twinned administrative body of Nanning?,"{'question': ""Which city's twinned administrative body is Nanning?"", 'options': {'A': 'Grudziądz', 'B': 'Guangxi', 'C': 'Warsaw', 'D': 'Kraków'}, 'ground_truth': 'A'}",Which city is the twinned administrative body of Grudziądz?,What is the capital city of the Guangxi Zhuang Autonomous Region?,What is the capital city of the country that has a twinned administrative body with Nanning?,Hanoi,Which river flows through the capital city of the country that has a twinned administrative body with Nanning?,Red River,What is the length of the river that flows through the capital city of the country that has a twinned administrative body with Nanning?,"1,149 kilometers",Which sea does the river that flows through the capital city of the country that has a twinned administrative body with Nanning empty into?,Gulf of Tonkin,"Which ocean is the gulf located in that the river flows into, which passes through the capital city of the country that has a twinned administrative body with Nanning?",Pacific Ocean
places_city,wh,Onjuku,twinned administrative body,Acapulco,Which city's twinned administrative body is Onjuku?,Acapulco,Kamagaya,0.0,What city is twinned with Onjuku?,Is Acapulco the city that is twinned with Onjuku?,Is Kamagaya the city that is twinned with Onjuku?,"{'question': 'Which city is twinned with Onjuku?', 'options': {'A': 'Acapulco', 'B': 'Kamagaya', 'C': 'Tokyo', 'D': 'Osaka'}, 'ground_truth': 'A'}",Which city's twinned administrative body is Acapulco?,In which country is Onjuku located?,What is the population of the city that is twinned with Onjuku?,"Approximately 20,000",What is the primary language spoken in the city that is twinned with Onjuku?,Spanish,What is the name of the country where the primary language spoken is Spanish and has a city twinned with Onjuku?,Mexico,What is the capital city of the country that has a city twinned with Onjuku?,Mexico City,What is the population of the capital city of the country that has a city twinned with Onjuku?,Approximately 9 million
places_city,wh,Queen Victoria,named after,Regina,Which city was named after Queen Victoria?,Regina,Victoria,0.0,What city got its name from Queen Victoria?,Was Regina named after Queen Victoria?,Was Victoria named after Queen Victoria?,"{'question': 'Which city was named after Queen Victoria?', 'options': {'A': 'Regina', 'B': 'Victoria', 'C': 'Toronto', 'D': 'Vancouver'}, 'ground_truth': 'A'}",Who was Regina named after?,In which year did Queen Victoria ascend to the throne?,What is the capital city of the country that has a state named after Queen Victoria?,Canberra,Which famous landmark is located in the capital city of the country that has a state named after Queen Victoria?,Parliament House,Who was the architect of the famous landmark located in the capital city of the country that has a state named after Queen Victoria?,Walter Burley Griffin,Which university did the architect of the famous landmark in the capital city of the country with a state named after Queen Victoria attend?,University of Illinois,In which city is the university located that the architect of the famous landmark in the capital city of the country with a state named after Queen Victoria attended?,Champaign
places_city,wh,Gütersloh,twinned administrative body,Grudziądz,Which city's twinned administrative body is Gütersloh?,Grudziądz,Bielefeld,0.0,What city is twinned with Gütersloh?,Is Grudziądz the twinned administrative body of Gütersloh?,Is Bielefeld the twinned administrative body of Gütersloh?,"{'question': 'Which city is twinned with Gütersloh?', 'options': {'A': 'Grudziądz', 'B': 'Bielefeld', 'C': 'Warsaw', 'D': 'Kraków'}, 'ground_truth': 'A'}",Which city's twinned administrative body is Grudziądz?,In which country is Gütersloh located?,What is the capital city of the country where a twinned administrative body of Gütersloh is located?,London,What is the population of the capital city of the country where a twinned administrative body of Gütersloh is located?,8.982 million,What is the name of the river that flows through the capital city of the country where a twinned administrative body of Gütersloh is located?,River Thames,What is the length of the river that flows through the capital city of the country where a twinned administrative body of Gütersloh is located?,346 km,What is the source of the river that flows through the capital city of the country where a twinned administrative body of Gütersloh is located?,Thames Head
places_city,wh,Taxco de Alarcón,twinned administrative body,Cancun,Which city's twinned administrative body is Taxco de Alarcón?,Cancun,Puebla,0.0,What city is twinned with Taxco de Alarcón?,Is Cancun the twinned administrative body of Taxco de Alarcón?,Is Puebla the twinned administrative body of Taxco de Alarcón?,"{'question': 'Which of the following cities is twinned with Taxco de Alarcón?', 'options': {'A': 'Cancun', 'B': 'Puebla', 'C': 'Guadalajara', 'D': 'Monterrey'}, 'ground_truth': 'A'}",Which city's twinned administrative body is Cancun?,In which Mexican state is Taxco de Alarcón located?,What is the name of a city that is twinned with Taxco de Alarcón?,Cuernavaca,What is a notable landmark in the city that is twinned with Taxco de Alarcón?,Palace of Cortés,Who was the historical figure associated with the notable landmark in the city twinned with Taxco de Alarcón?,Hernán Cortés,Which country did the historical figure associated with the notable landmark in the city twinned with Taxco de Alarcón come from?,Spain,What is the capital city of the country that the historical figure associated with the notable landmark in the city twinned with Taxco de Alarcón came from?,Madrid
places_city,wh,Cambodia,country,Phnom Penh,Which city's country is Cambodia?,Phnom Penh,Phnompenh,0.0,What is the capital city of Cambodia?,Is Phnom Penh the capital city of Cambodia?,Is Phnompenh the capital city of Cambodia?,"{'question': 'Which city is the capital of Cambodia?', 'options': {'A': 'Phnom Penh', 'B': 'Phnompenh', 'C': 'Siem Reap', 'D': 'Battambang'}, 'ground_truth': 'A'}",Which country has Phnom Penh as its capital?,What is the famous temple complex located in Cambodia?,What is the capital city of the country Cambodia?,Phnom Penh,Which river flows through the capital city of Cambodia?,Mekong River,Which sea does the river that flows through the capital city of Cambodia eventually empty into?,South China Sea,Which ocean is connected to the sea that the river flowing through the capital city of Cambodia empties into?,Pacific Ocean,Which continent is the ocean connected to the sea that the river flowing through the capital city of Cambodia empties into located?,Asia
places_city,wh,Nowy Sącz,located in the administrative territorial entity,Lesser Poland Voivodeship,What is the located in the administrative territorial entity of Nowy Sącz?,Lesser Poland Voivodeship,Nowy Sącz County,0.0,In which administrative territorial entity is Nowy Sącz located?,Is Nowy Sącz located in the administrative territorial entity of Lesser Poland Voivodeship?,Is Nowy Sącz located in the administrative territorial entity of Nowy Sącz County?,"{'question': 'In which administrative territorial entity is Nowy Sącz located?', 'options': {'A': 'Lesser Poland Voivodeship', 'B': 'Nowy Sącz County', 'C': 'Silesian Voivodeship', 'D': 'Masovian Voivodeship'}, 'ground_truth': 'A'}",Which city is located in the administrative territorial entity of Lesser Poland Voivodeship?,What is a famous historical landmark in Nowy Sącz?,What is the capital of the administrative territorial entity where Nowy Sącz is located?,Kraków,Which river flows through the capital of the administrative territorial entity where Nowy Sącz is located?,Vistula,What is the length of the river that flows through the capital of the administrative territorial entity where Nowy Sącz is located?,"1,047 kilometers",Which sea does the river that flows through the capital of the administrative territorial entity where Nowy Sącz is located empty into?,Baltic Sea,Which country borders the sea into which the river that flows through the capital of the administrative territorial entity where Nowy Sącz is located empties?,Germany
places_city,wh,Noci,twinned administrative body,Bratislava,Which city's twinned administrative body is Noci?,Bratislava,Bari,0.0,What city has Noci as its twinned administrative body?,Is Bratislava the city that has Noci as its twinned administrative body?,Is Bari the city that has Noci as its twinned administrative body?,"{'question': ""Which city's twinned administrative body is Noci?"", 'options': {'A': 'Bratislava', 'B': 'Bari', 'C': 'Vienna', 'D': 'Prague'}, 'ground_truth': 'A'}",Which city has Bratislava as its twinned administrative body?,In which country is the city of Noci located?,What is the country of the twinned administrative body of Noci?,France,What is the capital city of the country where the twinned administrative body of Noci is located?,Paris,Which river flows through the capital city of the country where the twinned administrative body of Noci is located?,Seine,What is the length of the river that flows through the capital city of the country where the twinned administrative body of Noci is located?,777 kilometers,Into which body of water does the river that flows through the capital city of the country where the twinned administrative body of Noci is located empty?,English Channel
places_city,wh,Iller,located in or next to body of water,Ulm,Which city's located in or next to body of water is Iller?,Ulm,Augsburg,0.0,Which city is situated near the Iller river?,Is Ulm the city located in or next to the Iller river?,Is Augsburg the city located in or next to the Iller river?,"{'question': 'Which city is located in or next to the Iller river?', 'options': {'A': 'Ulm', 'B': 'Augsburg', 'C': 'Munich', 'D': 'Stuttgart'}, 'ground_truth': 'A'}",Which river is Ulm located in or next to?,"Which city is known for its famous cathedral, the Ulm Minster?",Which country is the body of water that Iller is located in or next to situated in?,Germany,What is the capital city of the country where the body of water that Iller is located in or next to is situated?,Berlin,Which river flows through the capital city of the country where the body of water that Iller is located in or next to is situated?,Spree,What is the length of the river that flows through the capital city of the country where the body of water that Iller is located in or next to is situated?,400 kilometers,Into which river does the river that flows through the capital city of the country where the body of water that Iller is located in or next to is situated eventually flow?,Havel
places_city,wh,Fitchburg,twinned administrative body,Tianjin,Which city's twinned administrative body is Fitchburg?,Tianjin,"Tlaxcala, Mexico",0.0,Fitchburg is twinned with which administrative body?,Is Tianjin the twinned administrative body of Fitchburg?,"Is Tlaxcala, Mexico the twinned administrative body of Fitchburg?","{'question': ""Which city's twinned administrative body is Fitchburg?"", 'options': {'A': 'Tianjin', 'B': 'Tlaxcala, Mexico', 'C': 'Kyoto', 'D': 'Munich'}, 'ground_truth': 'A'}",Which city's twinned administrative body is Tianjin?,In which state is Fitchburg located?,What is the capital city of the country where Fitchburg's twinned administrative body is located?,Paris,Which river flows through the capital city of the country where Fitchburg's twinned administrative body is located?,Seine,What is the length of the river that flows through the capital city of the country where Fitchburg's twinned administrative body is located?,777 kilometers,Which sea does the river that flows through the capital city of the country where Fitchburg's twinned administrative body is located ultimately empty into?,English Channel,Which country borders the sea into which the river that flows through the capital city of the country where Fitchburg's twinned administrative body is located empties?,United Kingdom
places_city,wh,Bujumbura,twinned administrative body,Hefei,What is the twinned administrative body of Bujumbura?,Hefei,Bujumbura Rural,0.0,Which city is twinned with Bujumbura?,Is Hefei the twinned administrative body of Bujumbura?,Is Bujumbura Rural the twinned administrative body of Bujumbura?,"{'question': 'What is the twinned administrative body of Bujumbura?', 'options': {'A': 'Hefei', 'B': 'Bujumbura Rural', 'C': 'Shanghai', 'D': 'Nairobi'}, 'ground_truth': 'A'}",Which city is twinned with Hefei?,What is the capital city of Burundi?,What is the capital city of the country that has a twinned administrative body with Bujumbura?,Paris,Which river flows through the capital city of the country that has a twinned administrative body with Bujumbura?,Seine,What is the length of the river that flows through the capital city of the country that has a twinned administrative body with Bujumbura?,777 kilometers,Which sea does the river that flows through the capital city of the country that has a twinned administrative body with Bujumbura ultimately flow into?,English Channel,Which ocean is connected to the sea that the river flowing through the capital city of the country with a twinned administrative body with Bujumbura ultimately flows into?,Atlantic Ocean
places_city,wh,Straubing,twinned administrative body,Wels,Which city's twinned administrative body is Straubing?,Wels,Regenstauf,0.0,What city is twinned with Straubing?,Is Wels the twinned administrative body of Straubing?,Is Regenstauf the twinned administrative body of Straubing?,"{'question': 'Which city is twinned with Straubing?', 'options': {'A': 'Wels', 'B': 'Regenstauf', 'C': 'Linz', 'D': 'Passau'}, 'ground_truth': 'A'}",Which city's twinned administrative body is Wels?,In which country is Straubing located?,What is the name of a city that is twinned with Straubing?,Romans-sur-Isère,Which country is the city that is twinned with Straubing located in?,France,What is the official language of the country where the city twinned with Straubing is located?,French,What is the capital city of the country where the city twinned with Straubing is located?,Paris,Which river flows through the capital city of the country where the city twinned with Straubing is located?,Seine
places_city,wh,Xuzhou,twinned administrative body,Erfurt,Which city's twinned administrative body is Xuzhou?,Erfurt,Wuxi,0.0,What is the twinned administrative body of Xuzhou?,Is Erfurt the twinned administrative body of Xuzhou?,Is Wuxi the twinned administrative body of Xuzhou?,"{'question': ""Which city's twinned administrative body is Xuzhou?"", 'options': {'A': 'Erfurt', 'B': 'Wuxi', 'C': 'Berlin', 'D': 'Munich'}, 'ground_truth': 'A'}",Which city's twinned administrative body is Erfurt?,In which province is Xuzhou located?,What is the capital city of the country that has a twinned administrative body with Xuzhou?,Athens,Which famous ancient landmark is located in the capital city of the country that has a twinned administrative body with Xuzhou?,The Parthenon,Who was the main deity worshipped at the famous ancient landmark located in the capital city of the country that has a twinned administrative body with Xuzhou?,Athena,Which ancient civilization primarily worshipped the main deity of the famous ancient landmark located in the capital city of the country that has a twinned administrative body with Xuzhou?,Ancient Greeks,What language was predominantly spoken by the ancient civilization that primarily worshipped the main deity of the famous ancient landmark located in the capital city of the country that has a twinned administrative body with Xuzhou?,Ancient Greek
